Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
1,Ramón Ábila,ar ARG,AT,Cruzeiro,27,1989,10,6,536,6.0,3,1,4,2,1,1,2,0,,,,050,017,067,034,050,Partidas,db5ee72d
2,Abuda,br BRA,LT,Atl Goianiense,28,1989,1,0,29,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,438591fc
3,Airton,br BRA,LT,Botafogo (RJ),26,1990,3,2,111,1.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,00dee972
4,Airton,br BRA,ZGLT,Avaí,26,1990,5,4,370,4.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,4ac837ca
5,Alan,br BRA,LT,Vasco da Gama,19,1998,1,1,26,0.3,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,cd279727
6,Carlos Alberto,br BRA,LT,Atl Paranaense,32,1984,3,1,123,1.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ce3b4ddd
7,Yuri Alberto,br BRA,AT,Santos,15,2001,2,0,45,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,65159211
8,Alecsandro,br BRA,AT,Coritiba,35,1981,15,8,831,9.2,1,0,1,1,0,1,6,0,,,,011,000,011,011,011,Partidas,266bd6fb
9,Alemão,br BRA,ZG,Avaí,26,1990,34,34,2.994,33.3,0,1,1,0,0,0,5,0,,,,000,003,003,000,003,Partidas,86686dc2
10,Matheus Alessandro,br BRA,LT,Fluminense,20,1996,18,1,484,5.4,1,1,2,1,0,0,2,0,,,,019,019,037,019,037,Partidas,4f64b89f
11,Luis Alí,bo BOL,AT,Ponte Preta,22,1994,1,0,14,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,3edb31fd
12,Alison,br BRA,LT,Santos,23,1993,26,20,1.830,20.3,2,0,2,2,0,0,6,0,,,,010,000,010,010,010,Partidas,d39b373b
13,Alisson,br BRA,LT,Cruzeiro,23,1993,27,20,1.860,20.7,2,5,7,2,0,0,2,0,,,,010,024,034,010,034,Partidas,99139fa4
14,Agustín Allione,ar ARG,LT,Bahia,22,1994,26,19,1.558,17.3,0,8,8,0,0,0,6,0,,,,000,046,046,000,046,Partidas,cfc832a8
15,Henrique Almeida,br BRA,AT,Coritiba,25,1991,32,28,2.347,26.1,7,1,8,6,1,2,6,0,,,,027,004,031,023,027,Partidas,8aa2f2e3
16,Jordi Almeida,br BRA,G,Vasco da Gama,23,1993,1,0,30,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,774af19d
17,Diego Alves,br BRA,G,Flamengo,31,1985,19,19,1.710,19.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,12421a7c
18,Rodrigo Alves,br BRA,AT,Chapecoense,21,1995,3,0,34,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6389a5a0
19,Ronaldo Alves,br BRA,ZG,Sport Recife,27,1989,25,25,2.250,25.0,1,1,2,1,0,0,6,0,,,,004,004,008,004,008,Partidas,f089b25e
20,William Alves,br BRA,ZG,Atl Goianiense,29,1987,17,17,1.520,16.9,0,0,0,0,0,0,5,1,,,,000,000,000,000,000,Partidas,6ced1626
21,Amaral,br BRA,LT,Chapecoense,30,1986,9,9,775,8.6,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,a19bfce8
22,Anderson,br BRA,LT,Coritiba,28,1988,12,6,540,6.0,0,0,0,0,0,0,2,1,,,,000,000,000,000,000,Partidas,ffcbeb74
23,André,br BRA,AT,Sport Recife,26,1990,35,35,3.082,34.2,16,1,17,14,2,2,6,0,,,,047,003,050,041,044,Partidas,13b52dec
24,Paulo André,br BRA,ZG,Atl Paranaense,33,1983,21,21,1.890,21.0,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,996c6787
25,Andrigo,br BRA,LTAT,Atl Goianiense,21,1995,36,31,2.522,28.0,4,4,8,4,0,0,9,0,,,,014,014,029,014,029,Partidas,8b400e13
26,Matheus Anjos,br BRA,LT,Atl Paranaense,18,1998,7,2,285,3.2,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,978fc6a5
27,Luiz Antônio,br BRA,LT,Chapecoense,25,1991,30,26,2.073,23.0,3,2,5,3,0,0,4,0,,,,013,009,022,013,022,Partidas,b462c35b
28,Apodi,br BRA,ZG,Chapecoense,30,1986,35,35,3.113,34.6,1,2,3,1,0,0,10,0,,,,003,006,009,003,009,Partidas,affbe6bc
29,Alex Apolinário,br BRA,ZG,Cruzeiro,20,1996,1,0,15,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e3934cd2
30,Guilherme Arana,br BRA,ZG,Corinthians,19,1997,32,32,2.826,31.4,2,4,6,2,0,0,4,0,,,,006,013,019,006,019,Partidas,2b15a82a
31,Aranha,br BRA,G,Ponte Preta,36,1980,37,37,3.330,37.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,1b109c2a
32,Willian Arão,br BRA,LT,Flamengo,24,1992,30,26,2.335,25.9,1,4,5,1,0,0,2,0,,,,004,015,019,004,019,Partidas,f47a530a
33,Felipe Araruna,br BRA,ZGLT,São Paulo,20,1996,8,7,560,6.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d6b94d77
34,Luiz Araújo,br BRA,LTAT,São Paulo,20,1996,4,2,242,2.7,2,0,2,2,0,0,0,0,,,,074,000,074,074,074,Partidas,fa18c72e
35,Márcio Araújo,br BRA,LT,Flamengo,32,1984,27,26,2.162,24.0,0,1,1,0,0,0,5,0,,,,000,004,004,000,004,Partidas,f5affa62
36,Robert Arboleda,ec ECU,ZG,São Paulo,25,1991,23,23,2.070,23.0,3,1,4,3,0,0,6,0,,,,013,004,017,013,017,Partidas,269dbfc6
37,Pablo Armero,co COL,ZG,Bahia,30,1986,5,4,330,3.7,0,0,0,0,0,0,3,1,,,,000,000,000,000,000,Partidas,afabf74e
38,Arnaldo,br BRA,ZG,Botafogo (RJ),24,1992,30,30,2.609,29.0,0,1,1,0,0,0,5,0,,,,000,003,003,000,003,Partidas,58ac8926
39,Arouca,br BRA,ZGLT,Palmeiras,30,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,b96444f3
40,Michael Arroyo,ec ECU,LT,Grêmio,29,1987,7,4,316,3.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,a5f43c3f
41,Arthur,br BRA,ZG,Cruzeiro,17,1999,2,1,148,1.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,bb96dd77
42,Arthur,br BRA,LTAT,Santos,18,1998,11,6,552,6.1,2,0,2,2,0,0,1,0,,,,033,000,033,033,033,Partidas,184ad240
43,Arthur,br BRA,LTAT,Chapecoense,24,1992,34,34,2.871,31.9,8,6,14,8,0,0,6,0,,,,025,019,044,025,044,Partidas,4a870f60
44,Artur,br BRA,ZG,Ponte Preta,22,1994,1,1,6,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,22517bbe
45,Léo Artur,br BRA,LTAT,Ponte Preta,21,1995,22,15,1.323,14.7,1,1,2,1,0,0,1,0,,,,007,007,014,007,014,Partidas,93596a79
46,Giovanni Augusto,br BRA,LT,Corinthians,27,1989,11,3,418,4.6,1,1,2,1,0,0,2,0,,,,022,022,043,022,043,Partidas,2f94a698
47,Balbino,br BRA,LT,Grêmio,20,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,c64efa13
48,Fabián Balbuena,py PAR,ZG,Corinthians,25,1991,32,32,2.842,31.6,4,1,5,4,0,0,6,0,,,,013,003,016,013,016,Partidas,3626f7d9
49,Diogo Barbosa,br BRA,ZG,Cruzeiro,24,1992,31,31,2.774,30.8,1,4,5,1,0,0,4,0,,,,003,013,016,003,016,Partidas,7b9ef26b
50,Danilo Barcelos,br BRA,ZG,Atlético Mineiro,25,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,26f4ef39
