Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
51,Danilo Barcelos,br BRA,LTZG,Ponte Preta,25,1991,22,22,1.953,21.7,6,2,8,2,4,4,5,0,,,,028,009,037,009,018,Partidas,26f4ef39
52,Cristian Baroni,br BRA,LT,Grêmio,33,1983,5,5,360,4.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7c7d418d
53,Lucas Barrios,py PAR,AT,Grêmio,32,1984,17,16,1.242,13.8,4,1,5,2,2,2,4,0,,,,029,007,036,014,022,Partidas,618feb69
54,Fellipe Bastos,br BRA,LT,Corinthians,26,1990,7,2,152,1.7,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,9b99eae0
55,Michel Bastos,br BRA,ZGLT,Palmeiras,33,1983,17,13,1.197,13.3,0,2,2,0,0,0,4,0,,,,000,015,015,000,015,Partidas,014a3e8c
56,Tomas Bastos,br BRA,LT,Coritiba,24,1992,12,5,586,6.5,2,1,3,2,0,0,2,0,,,,031,015,046,031,046,Partidas,1c6f139f
57,Matheus Batista,br BRA,AT,Grêmio,21,1995,3,1,111,1.2,1,0,1,1,0,0,0,0,,,,081,000,081,081,081,Partidas,43d05e22
58,Alexander Baumjohann,de GER,LT,Coritiba,30,1987,2,0,77,0.9,0,1,1,0,0,0,0,0,,,,000,117,117,000,117,Partidas,0300e2dc
59,Rodrigo Becão,br BRA,ZG,Bahia,21,1996,8,4,484,5.4,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,19e4eab9
60,Ramiro Benetti,br BRA,LT,Grêmio,23,1993,26,26,2.225,24.7,6,4,10,6,0,0,4,0,,,,024,016,040,024,040,Partidas,96d14fe7
61,Neto Berola,br BRA,LTAT,Coritiba,29,1987,15,5,554,6.2,1,2,3,1,0,0,2,0,,,,016,032,049,016,049,Partidas,e6544ead
62,Orlando Berrío,co COL,LT,Flamengo,25,1991,19,8,799,8.9,2,2,4,2,0,0,5,0,,,,023,023,045,023,045,Partidas,ae7bb5f5
63,Betão,br BRA,ZG,Avaí,33,1983,36,36,3.240,36.0,1,1,2,1,0,0,8,0,,,,003,003,006,003,006,Partidas,f96e52eb
64,Bruno Bispo,br BRA,ZG,Vitória,20,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,c6dfb5cd
65,Guilherme Bissoli,br BRA,AT,São Paulo,19,1998,1,0,13,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,c9024e62
66,Gustavo Blanco,br BRA,LT,Atlético Mineiro,22,1994,8,2,235,2.6,0,0,0,0,0,0,1,1,,,,000,000,000,000,000,Partidas,f70e28e3
67,Fernando Bob,br BRA,LT,Ponte Preta,29,1988,19,17,1.457,16.2,0,0,0,0,0,0,6,2,,,,000,000,000,000,000,Partidas,d8e12b33
68,Miller Bolaños,ec ECU,LT,Grêmio,26,1990,2,1,84,0.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,fc2962b9
69,Breno Borges,br BRA,ZG,Vasco da Gama,27,1989,25,24,2.165,24.1,1,0,1,1,0,0,7,1,,,,004,000,004,004,004,Partidas,904b0bd9
70,Marllon Borges,br BRA,ZG,Ponte Preta,24,1992,31,29,2.724,30.3,0,0,0,0,0,0,6,0,,,,000,000,000,000,000,Partidas,d0b29bbd
71,Miguel Borja,co COL,AT,Palmeiras,24,1993,24,9,1.117,12.4,6,1,7,5,1,1,3,0,,,,048,008,056,040,048,Partidas,211dc5fd
72,Fábio Braga,br BRA,LT,Ponte Preta,24,1992,2,1,63,0.7,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,1551717d
73,David Braz,br BRA,ZG,Santos,29,1987,28,28,2.437,27.1,3,2,5,3,0,0,10,1,,,,011,007,018,011,018,Partidas,9313b408
74,Gleison Bremer,br BRA,ZG,Atlético Mineiro,19,1997,12,10,1.012,11.2,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,5fd5ed86
75,Brenner,br BRA,AT,São Paulo,17,2000,4,2,193,2.1,1,0,1,1,0,0,1,0,,,,047,000,047,047,047,Partidas,279508bf
76,Bressan,br BRA,ZG,Grêmio,24,1993,13,13,1.170,13.0,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,3db1684c
77,Lins Lima de Brito,br BRA,ATLT,Ponte Preta,29,1987,10,5,448,5.0,0,1,1,0,0,0,0,0,,,,000,020,020,000,020,Partidas,47b1f209
78,Júnior Brumado,br BRA,AT,Bahia,17,1999,3,0,64,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,bccc1bb4
79,Fabrício Bruno,br BRA,ZG,Chapecoense,20,1996,25,24,2.165,24.1,1,0,1,1,0,0,7,0,,,,004,000,004,004,004,Partidas,470d197b
80,Vitor Bueno,br BRA,LT,Santos,22,1994,8,7,515,5.7,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,5752f96d
81,Julio Buffarini,ar ARG,ZG,São Paulo,28,1988,7,6,525,5.8,0,1,1,0,0,0,0,0,,,,000,017,017,000,017,Partidas,66d9f8ee
82,Ariel Cabral,ar ARG,LT,Cruzeiro,29,1987,14,12,1.076,12.0,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,cbd26ff3
83,Patric Cabral Lalau,br BRA,ZGLT,Vitória,27,1989,33,22,2.244,24.9,1,4,5,1,0,0,3,0,,,,004,016,020,004,020,Partidas,16cd17b7
84,Luis Caicedo Medina,ec ECU,ZG,Cruzeiro,24,1992,6,5,495,5.5,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,1c2e5ad0
85,Rodrigo Caio,br BRA,ZG,São Paulo,23,1993,33,33,2.970,33.0,0,0,0,0,0,0,9,0,,,,000,000,000,000,000,Partidas,186ed8f1
86,Caíque,br BRA,G,Vitória,19,1997,9,9,810,9.0,0,1,1,0,0,0,2,0,,,,000,011,011,000,011,Partidas,49892b6e
87,Renato Cajá,br BRA,LT,Ponte Preta,32,1984,18,8,918,10.2,1,2,3,1,0,0,1,1,,,,010,020,029,010,029,Partidas,4aa9f674
88,Caju,br BRA,ZG,Santos,21,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,4253363a
89,Marquinhos Calazans,br BRA,LT,Fluminense,20,1996,11,8,686,7.6,0,2,2,0,0,0,4,0,,,,000,026,026,000,026,Partidas,2c93386e
90,Guilherme Camacho,br BRA,LT,Corinthians,26,1990,27,9,933,10.4,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,61a6775b
91,Fernando Camilo Farias,br BRA,LT,Botafogo (RJ),30,1986,7,5,407,4.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,48c1930e
92,Edinho Campos,br BRA,LT,Coritiba,34,1983,8,2,253,2.8,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,d31b1009
93,Lucas Campos,br BRA,AT,Botafogo (RJ),19,1997,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,454d82e9
94,Thalis Cantanhede,br BRA,LT,Atlético Mineiro,20,1996,1,0,12,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,2282b154
95,Héctor Canteros,ar ARG,LT,Chapecoense,27,1989,13,12,991,11.0,1,2,3,1,0,0,3,0,,,,009,018,027,009,027,Partidas,82d5eeaa
96,Capixaba,br BRA,LT,Atlético Mineiro,20,1997,1,0,24,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ea2634a1
97,Juninho Capixaba,br BRA,ZG,Bahia,19,1997,17,16,1.468,16.3,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,91ba7336
98,Cappa,br BRA,ZG,Avaí,24,1992,29,27,2.454,27.3,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,d84124e4
99,Nathan Cardoso,br BRA,ZG,Chapecoense,21,1995,1,0,4,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d4438745
100,Nicolas Careca,br BRA,AT,Grêmio,19,1997,2,1,95,1.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,479ccb18
101,Rafael Carioca,br BRA,LT,Atlético Mineiro,27,1989,18,18,1.506,16.7,0,0,0,0,0,0,6,0,,,,000,000,000,000,000,Partidas,19ae4d5c
102,Thiago Carleto,br BRA,ZGAT,Coritiba,27,1989,21,21,1.748,19.4,2,8,10,1,1,2,4,0,,,,010,041,051,005,046,Partidas,1c50ba0b
103,Joel Carli,ar ARG,ZG,Botafogo (RJ),30,1986,28,28,2.438,27.1,1,2,3,1,0,0,12,0,,,,004,007,011,004,011,Partidas,00d6e369
104,Carlinhos,br BRA,AT,Corinthians,19,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,37fe7c99
105,Antonio Carlos,br BRA,ZG,Palmeiras,23,1993,5,3,352,3.9,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,949fe1e8
106,João Carlos,br BRA,G,Ponte Preta,28,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ad9e7995
107,Roger Carvalho,br BRA,ZG,Atl Goianiense,30,1986,19,19,1.710,19.0,0,1,1,0,0,0,0,0,,,,000,005,005,000,005,Partidas,839aeeb4
108,Vitor Carvalho,br BRA,LT,Coritiba,19,1997,1,1,61,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,adc77724
109,Gustavo Cascardo,br BRA,ZGLT,Atl Paranaense,19,1997,10,6,682,7.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,880eb983
110,Cássio,br BRA,G,Corinthians,29,1987,35,35,3.150,35.0,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,d42f6326
111,Iury de Castilho,br BRA,ATLT,Avaí,21,1995,1,0,8,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,555311f2
112,André Castro,br BRA,ZGLT,Atl Goianiense,25,1991,32,24,2.138,23.8,0,0,0,0,0,0,7,0,,,,000,000,000,000,000,Partidas,a57721fb
113,Pedro Castro,br BRA,LT,Avaí,23,1993,32,27,2.510,27.9,3,2,5,3,0,0,4,0,,,,011,007,018,011,018,Partidas,147edb42
114,Diego Cavalieri,br BRA,G,Fluminense,34,1982,16,16,1.440,16.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,84e6ea11
115,Juan Cazares,ec ECU,LT,Atlético Mineiro,24,1992,30,23,2.042,22.7,3,8,11,3,0,1,1,0,,,,013,035,048,013,048,Partidas,754368cb
116,Dudu Cearense,br BRA,LT,Botafogo (RJ),33,1983,13,5,581,6.5,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,f7f68380
117,Murilo Cerqueira,br BRA,ZG,Cruzeiro,19,1997,24,22,1.994,22.2,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,10fe831e
118,César,br BRA,G,Flamengo,25,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7f6296b9
119,Caio César,br BRA,LT,Avaí,21,1995,2,0,32,0.4,0,1,1,0,0,0,0,0,,,,000,281,281,000,281,Partidas,47cd2531
120,Carlos César,br BRA,ZG,Atlético Mineiro,29,1987,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,72535420
121,Leonardo César Jardim,br BRA,G,Grêmio,21,1995,5,4,374,4.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f5dfc256
122,Júlio César,br BRA,G,Fluminense,30,1986,22,22,1.980,22.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f4213f59
123,Júlio César,br BRA,LT,Chapecoense,22,1994,7,1,210,2.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e687bac6
124,Yago César,br BRA,LT,Atl Paranaense,19,1997,3,1,96,1.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,790ee3a1
125,Renato Chaves,br BRA,ZG,Fluminense,26,1990,14,14,1.260,14.0,1,0,1,1,0,0,4,0,,,,007,000,007,007,007,Partidas,2a51efe8
126,Andrés Chávez,ar ARG,ATLT,São Paulo,25,1991,1,0,3,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,3e3ee8f7
127,Léo Cittadini,br BRA,LT,Santos,22,1994,7,3,322,3.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,68410185
128,Claudinho,br BRA,LTAT,Ponte Preta,20,1997,16,8,621,6.9,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,8d46713e
129,Clayson,br BRA,LT,Ponte Preta,21,1995,1,1,90,1.0,2,0,2,1,1,1,0,0,,,,200,000,200,100,100,Partidas,85c1009d
130,Clayson,br BRA,LT,Corinthians,21,1995,29,12,1.349,15.0,4,6,10,3,1,1,6,0,,,,027,040,067,020,060,Partidas,85c1009d
131,Clayton,br BRA,ATLT,Atlético Mineiro,21,1995,7,0,151,1.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ba1a92ff
132,Clayton,br BRA,ATLT,Corinthians,21,1995,3,0,22,0.2,2,0,2,2,0,0,0,0,,,,818,000,818,818,818,Partidas,ba1a92ff
133,Cléber,br BRA,ZG,Santos,26,1990,1,0,9,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,20c981ba
134,Cléber,br BRA,ZG,Coritiba,26,1990,14,13,1.191,13.2,2,0,2,2,0,0,4,0,,,,015,000,015,015,015,Partidas,20c981ba
135,Cleberson,br BRA,ZG,Atl Paranaense,24,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6ac597e8
136,Darío Conca,ar ARG,LT,Flamengo,33,1983,2,0,17,0.2,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,52a7cfcd
137,Conrado,it ITA,ZGLT,Grêmio,19,1997,5,4,386,4.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d31f72cf
138,Jonathan Copete,co COL,LT,Santos,29,1988,29,24,2.059,22.9,7,1,8,7,0,0,4,0,,,,031,004,035,031,035,Partidas,ce070a45
139,Uillian Correia,br BRA,LT,Vitória,27,1989,33,32,2.653,29.5,3,1,4,3,0,0,11,1,,,,010,003,014,010,014,Partidas,392daca8
140,Bruno Cortez,br BRA,ZG,Grêmio,29,1987,24,23,2.089,23.2,1,0,1,1,0,0,3,0,,,,004,000,004,004,004,Partidas,a3a1198a
141,Bruno Cosendey,br BRA,LT,Vasco da Gama,20,1997,1,0,17,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e48320b7
142,Alan Costa,br BRA,ZG,Vitória,26,1990,8,7,639,7.1,0,1,1,0,0,0,0,0,,,,000,014,014,000,014,Partidas,d37f4a66
143,Guilherme Costa,br BRA,LT,Vasco da Gama,22,1994,9,1,251,2.8,1,2,3,1,0,0,1,0,,,,036,072,108,036,108,Partidas,388bc3ad
144,Edimar Ribeiro da Costa Junior,,AT,Sport Recife,17,1999,13,2,393,4.4,0,1,1,0,0,0,1,0,,,,000,023,023,000,023,Partidas,8f8de8a3
145,Douglas Coutinho,br BRA,LTAT,Atl Paranaense,22,1994,26,15,1.493,16.6,3,2,5,3,0,0,0,0,,,,018,012,030,018,030,Partidas,19a55263
146,Lucas Crispim,br BRA,ZGLT,Santos,22,1994,3,0,47,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6501ff61
147,Gustavo Cuellar,co COL,LT,Flamengo,24,1992,25,22,1.860,20.7,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,cdd22fcf
148,Christian Cueva,pe PER,LTAT,São Paulo,25,1991,28,25,2.017,22.4,2,7,9,2,0,1,3,0,,,,009,031,040,009,040,Partidas,57376761
149,Leandro Damião,br BRA,ATLT,Flamengo,27,1989,7,5,481,5.3,3,0,3,3,0,0,0,0,,,,056,000,056,056,056,Partidas,8e0eac01
150,Daniel,br BRA,LT,Coritiba,23,1994,3,1,118,1.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,aee2320f
151,Danilinho,br BRA,LT,Vitória,29,1987,10,1,225,2.5,1,2,3,1,0,0,0,0,,,,040,080,120,040,120,Partidas,3dd0572e
152,Danilo,br BRA,LT,Corinthians,37,1979,2,0,34,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,74d69978
153,David,br BRA,LTAT,Vitória,21,1995,35,30,2.642,29.4,6,6,12,5,1,1,3,0,,,,020,020,041,017,037,Partidas,92f9ace5
154,Jonathan David Gómez,ar ARG,LT,São Paulo,27,1989,12,7,533,5.9,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,c911d311
155,Giorgian De Arrascaeta,uy URU,LTAT,Cruzeiro,22,1994,16,11,1.075,11.9,3,2,5,3,0,0,2,0,,,,025,017,042,025,042,Partidas,be8d02dd
156,Dedé,br BRA,ZG,Cruzeiro,28,1988,3,3,225,2.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,8847d5c3
157,Deivid,br BRA,LT,Atl Paranaense,28,1989,6,2,293,3.3,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,14142c12
158,Denílson,br BRA,LT,São Paulo,21,1995,12,2,362,4.0,1,1,2,1,0,0,0,0,,,,025,025,050,025,050,Partidas,4447f575
159,Denílson,br BRA,LTAT,Avaí,21,1995,3,3,247,2.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,4447f575
160,Agenor Detofol,br BRA,G,Sport Recife,27,1989,4,3,295,3.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,2cdeba2b
161,Deyverson,br BRA,AT,Palmeiras,25,1991,19,13,1.182,13.1,7,2,9,7,0,1,1,1,,,,053,015,069,053,069,Partidas,2e5e846d
162,Iago Dias,br BRA,LTAT,Coritiba,23,1993,17,4,475,5.3,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,7dfd3147
163,Diego,br BRA,LT,Flamengo,31,1985,27,24,2.147,23.9,10,2,12,7,3,4,6,0,,,,042,008,050,029,038,Partidas,255a478a
164,Digão,br BRA,ZG,Cruzeiro,28,1988,10,9,828,9.2,0,1,1,0,0,0,3,1,,,,000,011,011,000,011,Partidas,66a50cd7
165,Pablo Diogo,br BRA,LT,Atlético Mineiro,24,1992,3,2,125,1.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e244ceea
166,Dodô,br BRA,LT,Chapecoense,22,1994,2,0,59,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,af7fd224
167,Dodô,br BRA,ZGLT,Coritiba,18,1998,19,15,1.413,15.7,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,b5f7d10b
168,Leandro Donizete,br BRA,LT,Santos,34,1982,9,4,368,4.1,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,7b83b9eb
