Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
1,Abner,br BRA,ZG,Atl Paranaense,19,2000,34,30,2.833,31.5,3,3,6,3,0,0,4,0,2.0,2.0,3.9,59,65,142,171,010,010,019,010,019,006,012,019,006,019,Partidas,7f9c5d2d
2,Pedro Acacio,br BRA,LTZG,Palmeiras,17,2002,3,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,4,000,000,000,000,000,000,000,000,000,000,Partidas,1f4aaad9
3,Luiz Adriano,br BRA,AT,Palmeiras,32,1987,24,19,1.538,17.1,10,3,13,8,2,3,2,0,7.5,5.0,1.6,66,16,35,59,059,018,076,047,064,044,009,054,029,039,Partidas,2557c196
4,Adryelson,br BRA,ZG,Sport Recife,21,1998,36,36,3.216,35.7,0,0,0,0,0,0,7,0,0.7,0.7,0.1,09,5,55,1,000,000,000,000,000,002,000,002,002,002,Partidas,e980e78d
5,Felipe Aguilar,co COL,ZG,Atl Paranaense,27,1993,11,5,532,5.9,0,0,0,0,0,0,1,0,0.2,0.2,0.1,03,2,12,0,000,000,000,000,000,004,001,005,004,005,Partidas,c285529f
6,Yuri Alberto,br BRA,ATLT,Internacional,18,2001,23,14,1.299,14.4,10,2,12,10,0,0,3,0,8.1,8.1,2.0,101,20,14,112,069,014,083,069,083,056,014,070,056,070,Partidas,65159211
7,Alerrandro,br BRA,AT,Bragantino,20,2000,16,11,926,10.3,5,2,7,5,0,1,0,0,5.6,4.9,1.4,62,6,17,52,049,019,068,049,068,055,014,068,047,061,Partidas,3415a44d
8,Alesson,br BRA,ATLT,Bahia,20,1999,16,3,370,4.1,2,0,2,2,0,0,1,0,2.3,2.3,1.6,39,17,8,41,049,000,049,049,049,056,039,095,056,095,Partidas,611e984e
9,Alex,br BRA,ZG,Santos,20,1999,11,7,728,8.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,5,18,1,000,000,000,000,000,001,000,001,001,001,Partidas,7367baf7
10,Caio Alexandre,br BRA,LT,Botafogo (RJ),20,1999,34,33,2.731,30.3,4,0,4,4,0,0,8,0,4.3,4.3,2.1,64,71,192,88,013,000,013,013,013,014,007,021,014,021,Partidas,08ac23b7
11,Alison,br BRA,LTZG,Santos,26,1993,20,18,1.513,16.8,0,1,1,0,0,0,6,2,0.1,0.1,0.2,03,14,56,6,000,006,006,000,006,000,001,002,000,002,Partidas,d39b373b
12,Alisson,br BRA,AT,Grêmio,26,1993,24,24,1.943,21.6,2,5,7,2,0,0,3,0,5.7,5.7,3.5,92,94,113,195,009,023,032,009,032,026,016,043,026,043,Partidas,99139fa4
13,Allan,br BRA,LT,Atlético Mineiro,22,1997,31,26,2.364,26.3,0,0,0,0,0,0,8,1,0.9,0.9,0.7,15,28,207,44,000,000,000,000,000,003,003,006,003,006,Partidas,b15e93aa
14,Allanzinho,br BRA,LT,Santos,19,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,2,000,000,000,000,000,000,000,000,000,000,Partidas,21e7822d
15,Júnior Alonso,py PAR,ZG,Atlético Mineiro,26,1993,32,32,2.878,32.0,1,2,3,1,0,0,7,0,2.0,2.0,1.5,34,47,302,24,003,006,009,003,009,006,005,011,006,011,Partidas,b18a3023
16,Jaime Alvarado,co COL,LT,Atl Paranaense,20,1999,14,3,383,4.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,01,3,24,5,000,000,000,000,000,001,001,002,001,002,Partidas,0cb5f8bb
17,Dani Alves,br BRA,LTAT,São Paulo,36,1983,30,30,2.688,29.9,1,3,4,1,0,0,10,0,2.8,2.8,4.6,74,73,269,112,003,010,013,003,013,009,015,025,009,025,Partidas,c9e99e49
