Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
18,Diego Alves,br BRA,G,Flamengo,34,1985,10,10,836,9.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,12421a7c
19,Marcelo Alves,br BRA,ZG,Vasco da Gama,21,1998,14,12,1.146,12.7,0,0,0,0,0,0,3,0,0.1,0.1,0.2,03,0,18,1,000,000,000,000,000,001,001,002,001,002,Partidas,29f81bd9
20,Felipe Alves Raymundo,br BRA,G,Fortaleza,31,1988,37,37,3.330,37.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,7fbe8689
21,Anderson,br BRA,G,Bahia,36,1983,8,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.5,05,0,0,0,000,017,017,000,017,000,009,009,000,009,Partidas,7ffcf9d0
22,Thonny Anderson,br BRA,LTAT,Bragantino,22,1997,8,1,160,1.8,1,0,1,1,0,1,0,1,1.2,0.4,0.0,05,5,9,14,056,000,056,056,056,068,002,070,024,026,Partidas,7a7c9837
23,Victor Andrade,br BRA,ATLT,Goiás,24,1995,9,4,398,4.4,2,0,2,2,0,0,4,0,1.0,1.0,0.2,12,24,7,38,045,000,045,045,045,023,004,027,023,027,Partidas,1dc83c51
24,André,br BRA,LTAT,Fluminense,18,2001,10,2,281,3.1,0,0,0,0,0,0,2,0,0.0,0.0,0.1,01,2,19,3,000,000,000,000,000,000,002,002,000,002,Partidas,ec604e2c
25,Angelo,br BRA,ZG,Coritiba,18,2001,2,1,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,3,0,10,000,000,000,000,000,000,000,000,000,000,Partidas,80ada964
26,Iván Angulo,co COL,AT,Botafogo (RJ),20,1999,3,0,63,0.7,0,0,0,0,0,0,2,1,0.0,0.0,0.0,00,4,2,3,000,000,000,000,000,000,000,000,000,000,Partidas,55a5d959
27,Marco Antônio,br BRA,ATLT,Bahia,22,1997,18,2,421,4.7,1,2,3,1,0,0,2,0,1.1,1.1,1.6,27,14,14,35,021,043,064,021,064,024,034,058,024,058,Partidas,94cc9e88
28,Guilherme Arana,br BRA,ZGLT,Atlético Mineiro,22,1997,37,35,3.192,35.5,4,6,10,4,0,0,4,0,4.4,4.4,7.2,116,83,319,280,011,017,028,011,028,013,020,033,013,033,Partidas,2b15a82a
29,Willian Arão,br BRA,LTZG,Flamengo,27,1992,32,29,2.629,29.2,1,1,2,1,0,0,4,0,1.1,1.1,1.7,28,10,195,15,003,003,007,003,007,004,006,010,004,010,Partidas,f47a530a
30,Ángelo Araos,cl CHI,LT,Corinthians,23,1997,15,12,800,8.9,1,4,5,1,0,0,3,0,1.3,1.3,1.7,31,22,23,60,011,045,056,011,056,015,020,034,015,034,Partidas,c8e4f105
31,Davi Araújo,br BRA,ATLT,Botafogo (RJ),20,1999,13,1,323,3.6,0,0,0,0,0,0,1,0,0.8,0.8,0.1,09,11,11,33,000,000,000,000,000,021,004,025,021,025,Partidas,fdc0c24a
32,Márcio Araújo,br BRA,LT,Sport Recife,35,1984,10,4,435,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,3,17,1,000,000,000,000,000,001,000,001,001,001,Partidas,f5affa62
33,Michel Araujo,uy URU,LTAT,Fluminense,23,1996,29,23,1.857,20.6,1,0,1,1,0,0,5,0,4.2,4.2,0.7,49,51,87,90,005,000,005,005,005,020,003,024,020,024,Partidas,1159e4ae
34,Robert Arboleda,ec ECU,ZG,São Paulo,28,1991,21,19,1.725,19.2,1,0,1,1,0,0,4,0,1.4,1.4,0.1,14,14,61,5,005,000,005,005,005,007,000,007,007,007,Partidas,269dbfc6
35,Arnaldo,br BRA,ZGAT,Atl Goianiense,27,1992,17,3,445,4.9,0,0,0,0,0,0,1,0,0.0,0.0,1.9,19,15,18,34,000,000,000,000,000,001,038,039,001,039,Partidas,58ac8926
36,Arthur,br BRA,LTAT,Santos,21,1998,22,16,1.222,13.6,2,0,2,1,1,1,2,1,2.1,1.3,1.0,23,39,44,92,015,000,015,007,007,016,007,023,010,017,Partidas,184ad240
37,Arthur,br BRA,G,Coritiba,23,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,4dec0096
38,Artur,br BRA,ATLT,Bragantino,21,1998,33,33,2.787,31.0,1,5,6,1,0,1,3,0,5.3,4.5,5.4,100,150,103,323,003,016,019,003,019,017,018,035,015,032,Partidas,105132cd
39,Otavio Ataide,br BRA,ZG,Flamengo,17,2002,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,004,000,004,004,004,Partidas,6f22e535
40,Giovanni Augusto,br BRA,LTAT,Coritiba,30,1989,20,15,1.275,14.2,4,5,9,4,0,0,2,0,3.2,3.2,6.0,92,61,90,99,028,035,064,028,064,022,042,065,022,065,Partidas,2f94a698
41,Danilo Avelar,br BRA,ZG,Corinthians,30,1989,13,13,1.164,12.9,2,0,2,2,0,0,4,1,0.7,0.7,0.2,09,15,90,3,015,000,015,015,015,005,002,007,005,007,Partidas,eacb45fd
42,Gui Azevedo,br BRA,ATLT,Grêmio,18,2001,9,0,112,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.1,04,9,2,15,000,000,000,000,000,018,011,029,018,029,Partidas,8aa0de47
43,Márcio Azevedo,br BRA,ZG,Atl Paranaense,33,1986,6,6,376,4.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,05,11,42,21,000,000,000,000,000,002,010,012,002,012,Partidas,53fc526b
44,Matheus Babi,br BRA,ATLT,Botafogo (RJ),22,1997,34,21,2.219,24.7,10,1,11,9,1,1,6,0,7.8,7.0,2.9,99,27,34,143,041,004,045,037,041,032,012,043,028,040,Partidas,f48cff2c
45,Douglas Baggio,br BRA,ATLT,Goiás,24,1995,25,11,1.046,11.6,0,1,1,0,0,0,1,0,1.9,1.9,0.5,23,34,28,70,000,009,009,000,009,016,004,020,016,020,Partidas,a74adf6e
46,Matheus Bahia,br BRA,ZG,Bahia,20,1999,13,13,1.039,11.5,0,1,1,0,0,0,1,0,0.8,0.8,1.7,24,31,28,70,000,009,009,000,009,007,014,021,007,021,Partidas,33e3c4e5
47,Guilherme Bala,br BRA,AT,Flamengo,18,2001,1,1,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,2,6,6,000,000,000,000,000,000,005,005,000,005,Partidas,6a39dcc6
48,Gabriel Baralhas,br BRA,LT,Atl Goianiense,21,1998,4,2,157,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,1,12,3,000,000,000,000,000,004,002,006,004,006,Partidas,b7838aad
49,Diogo Barbosa,br BRA,ZG,Palmeiras,27,1992,5,3,322,3.6,0,0,0,0,0,0,0,0,0.1,0.1,0.2,03,6,22,17,000,000,000,000,000,003,004,007,003,007,Partidas,7b9ef26b
50,Diogo Barbosa,br BRA,ZG,Grêmio,27,1992,21,17,1.608,17.9,0,3,3,0,0,0,2,0,0.3,0.3,1.8,21,61,65,93,000,017,017,000,017,002,010,012,002,012,Partidas,7b9ef26b
51,Gabriel Barbosa,br BRA,AT,Flamengo,23,1996,25,22,1.758,19.5,14,2,16,8,6,6,3,1,16.7,12.4,2.2,146,40,48,169,072,010,082,041,051,085,011,096,064,075,Partidas,72d0e1b6
52,Danilo Barcelos,br BRA,ZG,Fluminense,28,1991,17,17,1.529,17.0,1,2,3,1,0,0,4,1,0.9,0.9,2.2,32,15,72,68,006,012,018,006,018,005,013,019,005,019,Partidas,26f4ef39
53,Danilo Barcelos,br BRA,ZG,Botafogo (RJ),28,1991,3,2,210,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.1,02,4,8,4,000,000,000,000,000,004,006,010,004,010,Partidas,26f4ef39
54,Leandro Barcia,uy URU,ATLT,Sport Recife,27,1992,16,10,1.025,11.4,3,0,3,3,0,0,2,0,2.4,2.4,1.0,34,33,16,90,026,000,026,026,026,021,009,030,021,030,Partidas,11d91ea7
55,Federico Barrandeguy,uy URU,ZG,Botafogo (RJ),23,1996,14,4,549,6.1,0,0,0,0,0,0,4,1,0.1,0.1,0.3,03,8,18,33,000,000,000,000,000,001,004,005,001,005,Partidas,99517c5a
56,Barreto,br BRA,LTZG,Bragantino,24,1995,4,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,11,2,000,000,000,000,000,000,002,002,000,002,Partidas,de08d383
57,Fellipe Bastos,br BRA,LT,Vasco da Gama,29,1990,14,10,792,8.8,4,0,4,4,0,0,4,0,1.1,1.1,0.3,14,2,45,14,045,000,045,045,045,013,003,016,013,016,Partidas,9b99eae0
58,Gabriel Batista,br BRA,G,Flamengo,21,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,20575487
59,Muriel Becker,br BRA,G,Fluminense,32,1987,19,19,1.710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,826bc57f
60,Ramiro Benetti,br BRA,LTAT,Corinthians,26,1993,31,20,1.803,20.0,1,1,2,1,0,0,8,0,1.6,1.6,2.1,37,14,142,117,005,005,010,005,010,008,010,018,008,018,Partidas,96d14fe7
61,Martín Benítez,ar ARG,LTAT,Vasco da Gama,25,1994,24,21,1.722,19.1,2,2,4,2,0,0,5,0,1.1,1.1,3.1,42,52,79,97,010,010,021,010,021,006,016,022,006,022,Partidas,c122e34e
62,Bento,br BRA,G,Atl Paranaense,20,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,5d699228
63,Daniel Bessa,it ITA,LT,Goiás,27,1993,13,13,1.080,12.0,2,0,2,1,1,1,3,0,1.8,1.0,1.3,23,23,57,36,017,000,017,008,008,015,011,026,008,019,Partidas,88895312
64,Éber Bessa,br BRA,ATLT,Botafogo (RJ),27,1992,7,1,189,2.1,0,0,0,0,0,0,1,0,0.3,0.3,0.7,10,5,7,13,000,000,000,000,000,015,031,046,015,046,Partidas,6130fecc
65,Betinho,br BRA,LT,Sport Recife,27,1992,24,18,1.551,17.2,0,1,1,0,0,0,5,0,0.5,0.5,0.9,14,10,108,13,000,006,006,000,006,003,005,008,003,008,Partidas,fc8b1247
66,Fabrício Biato,br BRA,AT,Palmeiras,18,2001,3,0,107,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,5,000,000,000,000,000,002,000,002,002,002,Partidas,5793b526
67,Raul Bicalho,br BRA,ZG,Corinthians,20,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,3,5,1,000,000,000,000,000,000,000,000,000,000,Partidas,79af412b
68,Guilherme Biro,br BRA,ZG,Coritiba,19,2000,9,9,647,7.2,0,0,0,0,0,0,2,0,0.2,0.2,0.7,09,10,17,23,000,000,000,000,000,003,010,013,003,013,Partidas,02c7236e
69,Guilherme Bissoli,br BRA,AT,Atl Paranaense,22,1998,15,6,544,6.0,0,1,1,0,0,0,0,0,1.0,1.0,0.9,19,1,5,36,000,017,017,000,017,016,015,031,016,031,Partidas,c9024e62
70,Gustavo Blanco,br BRA,ATLT,Goiás,25,1994,4,2,160,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,2,8,3,000,000,000,000,000,000,005,005,000,005,Partidas,f70e28e3
71,Dani Bolt,br BRA,ZG,Fluminense,20,1999,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,e9d131a1
72,Ângelo Borges,br BRA,LTAT,Santos,15,2004,9,1,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.6,06,8,4,19,000,000,000,000,000,003,034,037,003,037,Partidas,737945d9
73,Leonardo Borges,br BRA,ZG,Internacional,19,2001,1,0,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,3,4,10,000,000,000,000,000,000,000,000,000,000,Partidas,6af9484e
74,Marllon Borges,br BRA,ZG,Corinthians,27,1992,11,7,600,6.7,0,0,0,0,0,0,0,1,0.7,0.7,0.0,07,2,11,0,000,000,000,000,000,010,000,011,010,011,Partidas,d0b29bbd
75,Neto Borges,br BRA,ZGLT,Vasco da Gama,23,1996,19,11,1.008,11.2,0,1,1,0,0,0,3,0,0.3,0.3,1.0,13,31,25,51,000,009,009,000,009,002,009,012,002,012,Partidas,9f936061
76,Dylan Borrero,co COL,LT,Atlético Mineiro,18,2002,6,1,140,1.6,0,0,0,0,0,0,2,1,0.0,0.0,0.0,00,0,8,9,000,000,000,000,000,002,000,002,002,002,Partidas,a72d14de
77,Gabriel Boschilia,br BRA,LTAT,Internacional,23,1996,13,9,855,9.5,1,1,2,1,0,0,2,0,1.1,1.1,1.1,21,14,43,37,011,011,021,011,021,012,011,023,012,023,Partidas,e90af77c
78,Mauro Boselli,ar ARG,ATLT,Corinthians,34,1985,8,1,199,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.2,04,2,4,6,000,000,000,000,000,008,010,018,008,018,Partidas,284e865d
79,Lucas Braga,br BRA,ATLT,Santos,23,1996,30,24,2.064,22.9,2,3,5,2,0,0,3,0,2.4,2.4,2.6,50,88,45,152,009,013,022,009,022,011,011,022,011,022,Partidas,8a0a73ad
80,Júnior Brandão,br BRA,AT,Atl Goianiense,25,1995,11,0,168,1.9,0,0,0,0,0,0,0,0,1.1,1.1,0.1,12,5,3,7,000,000,000,000,000,058,006,063,058,063,Partidas,6605c8ae
81,David Braz,br BRA,ZG,Grêmio,32,1987,21,15,1.444,16.0,2,0,2,2,0,0,4,1,1.4,1.4,0.1,15,8,36,6,012,000,012,012,012,009,001,009,009,009,Partidas,9313b408
82,Brenner,br BRA,AT,São Paulo,20,2000,27,21,1.908,21.2,11,3,14,11,0,0,5,0,11.6,11.6,0.7,123,20,24,91,052,014,066,052,066,055,003,058,055,058,Partidas,279508bf
83,Breno,br BRA,LT,Goiás,19,2000,29,27,2.189,24.3,0,0,0,0,0,0,10,1,0.4,0.4,0.4,09,14,49,25,000,000,000,000,000,002,002,004,002,004,Partidas,083374b7
84,Breno,br BRA,ATLT,Palmeiras,24,1996,18,9,975,10.8,2,0,2,2,0,0,2,0,1.7,1.7,1.1,28,40,29,114,018,000,018,018,018,016,010,026,016,026,Partidas,e0016d00
85,Eduardo Brock,br BRA,ZG,Ceará,28,1991,7,5,492,5.5,1,0,1,1,0,0,1,0,0.9,0.9,0.1,10,4,17,0,018,000,018,018,018,017,002,018,017,018,Partidas,70774644
86,Bruninho,br BRA,AT,Santos,20,1999,15,2,429,4.8,3,0,3,3,0,0,1,0,2.5,2.5,0.2,27,3,8,20,063,000,063,063,063,053,004,057,053,057,Partidas,6d31b1da
87,Bruninho,br BRA,LTAT,Sport Recife,19,2000,16,1,353,3.9,0,0,0,0,0,0,1,0,0.5,0.5,0.1,07,14,15,20,000,000,000,000,000,013,004,017,013,017,Partidas,f7a3e78a
88,Fabrício Bruno,br BRA,ZG,Bragantino,23,1996,14,13,1.124,12.5,1,0,1,1,0,0,3,1,0.7,0.7,0.2,09,12,53,0,008,000,008,008,008,005,002,007,005,007,Partidas,470d197b
89,Matheus Bueno,br BRA,LTAT,Coritiba,21,1998,27,16,1.316,14.6,0,0,0,0,0,0,1,0,0.4,0.4,0.9,14,14,79,12,000,000,000,000,000,003,006,009,003,009,Partidas,e90ec8d0
90,Vitor Bueno,br BRA,ATLT,São Paulo,25,1994,31,11,1.330,14.8,2,2,4,2,0,0,2,0,2.7,2.7,2.4,51,47,81,127,014,014,027,014,027,019,016,035,019,035,Partidas,5752f96d
91,Ariel Cabral,ar ARG,LT,Goiás,32,1987,20,18,1.462,16.2,0,1,1,0,0,0,5,0,0.4,0.4,0.9,13,8,92,9,000,006,006,000,006,003,006,008,003,008,Partidas,cbd26ff3
92,Patric Cabral Lalau,br BRA,ZG,Sport Recife,30,1989,36,36,3.239,36.0,1,4,5,1,0,0,3,1,2.0,2.0,4.9,69,86,171,256,003,011,014,003,014,006,014,019,006,019,Partidas,16cd17b7
93,Jonathan Cafu,br BRA,ATLT,Corinthians,28,1991,3,1,104,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,2,3,12,000,000,000,000,000,000,002,002,000,002,Partidas,8d043f1d
94,Rodrigo Caio,br BRA,ZG,Flamengo,26,1993,20,20,1.683,18.7,0,0,0,0,0,0,1,0,0.7,0.7,0.8,14,19,71,2,000,000,000,000,000,004,004,008,004,008,Partidas,186ed8f1
95,Caju,br BRA,ZG,Goiás,24,1995,13,8,938,10.4,0,1,1,0,0,0,2,0,0.7,0.7,0.7,14,13,36,29,000,010,010,000,010,006,007,013,006,013,Partidas,4253363a
96,Calebe,br BRA,LTAT,Atlético Mineiro,19,2000,11,4,388,4.3,0,0,0,0,0,0,0,0,0.4,0.4,0.3,07,4,19,20,000,000,000,000,000,009,007,016,009,016,Partidas,c84af55e
97,Lucas Calegari,br BRA,ZG,Fluminense,17,2002,22,22,1.946,21.6,0,0,0,0,0,0,2,0,0.6,0.6,1.2,17,34,91,80,000,000,000,000,000,003,005,008,003,008,Partidas,a564fe91
98,Guilherme Camacho,br BRA,LT,Corinthians,29,1990,20,4,573,6.4,0,2,2,0,0,0,2,0,0.4,0.4,0.7,11,10,43,11,000,031,031,000,031,006,011,017,006,017,Partidas,61a6775b
99,Lucas Campos,br BRA,AT,Botafogo (RJ),22,1997,2,1,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,3,000,000,000,000,000,000,000,000,000,000,Partidas,454d82e9
100,Luan Cândido,br BRA,ZG,Bragantino,18,2001,11,6,606,6.7,1,0,1,1,0,0,3,0,0.7,0.7,0.2,09,14,42,25,015,000,015,015,015,010,003,013,010,013,Partidas,ca151606
101,Fernando Canesin,br BRA,LTAT,Atl Paranaense,27,1992,16,9,757,8.4,1,3,4,1,0,0,3,0,0.8,0.8,0.5,13,22,28,36,012,036,048,012,048,009,006,015,009,015,Partidas,ea3091b7
102,Germán Cano,ar ARG,AT,Vasco da Gama,31,1988,34,33,2.860,31.8,14,1,15,13,1,2,0,0,14.9,13.4,0.8,141,19,39,84,044,003,047,041,044,047,002,049,042,044,Partidas,9ccf4e14
103,Víctor Cantillo,co COL,LT,Corinthians,26,1993,25,21,1.554,17.3,0,3,3,0,0,0,6,0,0.4,0.4,1.3,17,16,148,16,000,017,017,000,017,003,007,010,003,010,Partidas,45075f2f
104,Juninho Capixaba,br BRA,ZG,Bahia,22,1997,29,22,2.063,22.9,0,6,6,0,0,0,5,0,1.0,1.0,3.8,48,57,118,145,000,026,026,000,026,004,016,021,004,021,Partidas,91ba7336
105,Felippe Cardoso,br BRA,AT,Fluminense,21,1998,20,3,578,6.4,2,0,2,2,0,0,3,0,1.9,1.9,0.2,22,12,9,39,031,000,031,031,031,030,003,033,030,033,Partidas,7a2bbdf3
106,Johnny Cardoso,us USA,LT,Internacional,18,2001,13,5,476,5.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,02,6,27,11,000,000,000,000,000,003,002,004,003,004,Partidas,7426f085
107,Edson Caríus,br BRA,AT,Fortaleza,31,1988,1,1,60,0.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,04,0,2,3,000,000,000,000,000,049,004,053,049,053,Partidas,a7623a64
108,Carlinhos,br BRA,LTAT,Vasco da Gama,25,1994,28,14,1.381,15.3,1,2,3,1,0,0,1,0,2.0,2.0,2.0,41,35,96,53,007,013,020,007,020,013,013,027,013,027,Partidas,e19ca5b9
109,Carlinhos,br BRA,ZG,Fortaleza,33,1986,27,19,1.881,20.9,0,0,0,0,0,0,3,0,0.3,0.3,1.7,20,37,111,70,000,000,000,000,000,001,008,010,001,010,Partidas,f33a3149
110,Jan Carlos Hurtado,ve VEN,AT,Bragantino,19,2000,23,2,393,4.4,2,0,2,2,0,0,2,0,1.8,1.8,0.1,19,6,4,28,046,000,046,046,046,040,003,043,040,043,Partidas,f50b0b2b
111,Gonzalo Carneiro,uy URU,ATLT,São Paulo,24,1995,10,2,208,2.3,1,1,2,1,0,0,1,0,1.0,1.0,0.6,16,0,3,10,043,043,087,043,087,044,026,070,044,070,Partidas,88f6ffd1
112,Leandro Carvalho,br BRA,ATLT,Ceará,24,1995,19,9,812,9.0,1,1,2,1,0,0,5,1,1.7,1.7,0.2,20,26,24,66,011,011,022,011,022,019,003,022,019,022,Partidas,492812cf
113,Roger Carvalho,br BRA,ZG,Fortaleza,33,1986,6,6,435,4.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,00,0,4,0,000,000,000,000,000,000,000,000,000,000,Partidas,839aeeb4
114,Taylon Carvalho,br BRA,ZG,Goiás,19,2000,9,4,428,4.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,01,3,11,11,000,000,000,000,000,000,003,003,000,003,Partidas,396f8bfc
115,Gustavo Cascardo,br BRA,ZG,Botafogo (RJ),22,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,2,2,000,000,000,000,000,000,000,000,000,000,Partidas,880eb983
116,Cássio,br BRA,G,Corinthians,32,1987,35,35,3.142,34.9,0,0,0,0,0,0,2,1,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,d42f6326
117,Leandro Castán,br BRA,ZG,Vasco da Gama,33,1986,28,28,2.396,26.6,0,0,0,0,0,0,4,1,0.3,0.3,0.1,03,6,41,3,000,000,000,000,000,001,000,001,001,001,Partidas,019f4d0d
118,Ygor Catatau,br BRA,ATLT,Vasco da Gama,24,1995,15,4,455,5.1,1,1,2,1,0,0,1,0,0.6,0.6,0.9,15,21,4,45,020,020,040,020,040,012,019,031,012,031,Partidas,4b741de1
119,Diego Cavalieri,br BRA,G,Botafogo (RJ),37,1982,22,22,1.980,22.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,84e6ea11
120,Juan Cazares,ec ECU,LT,Corinthians,27,1992,20,10,1.086,12.1,2,5,7,2,0,0,1,0,1.5,1.5,3.9,54,23,81,77,017,041,058,017,058,012,033,045,012,045,Partidas,754368cb
121,Anderson Ceará,br BRA,AT,Santos,20,1999,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,3,1,000,000,000,000,000,000,000,000,000,000,Partidas,ee8f7dc5
122,Ezequiel Cerutti,ar ARG,ATZG,Coritiba,28,1992,7,3,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,8,6,28,000,000,000,000,000,000,004,004,000,004,Partidas,635c9552
123,César,br BRA,G,Flamengo,28,1992,5,3,303,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,7f6296b9
124,Bruno César,br BRA,LT,Vasco da Gama,31,1988,7,2,239,2.7,0,0,0,0,0,0,0,0,0.2,0.2,0.3,05,1,17,18,000,000,000,000,000,007,009,017,007,017,Partidas,f0faccb9
125,Júlio César,br BRA,G,Grêmio,33,1986,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,f4213f59
