Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
1,Abner,br BRA,ZG,Atl Paranaense,21,2000,28,25,2.106,23.4,1,2,3,1,0,0,6,0,1.2,1.2,2.2,34,29,139,68,004,009,013,004,013,005,009,015,005,015,Partidas,7f9c5d2d
2,Adryelson,br BRA,ZG,Botafogo (RJ),23,1998,17,16,1.446,16.1,0,0,0,0,0,0,1,0,1.2,1.2,0.3,16,3,20,2,000,000,000,000,000,008,002,010,008,010,Partidas,e980e78d
3,Adson,br BRA,ATLT,Corinthians,21,2000,25,13,1.239,13.8,3,0,3,3,0,0,2,0,2.6,2.6,0.8,34,56,72,109,022,000,022,022,022,019,006,025,019,025,Partidas,eda38706
4,Airton,br BRA,AT,Atl Goianiense,22,1999,33,22,1.738,19.3,2,4,6,2,0,0,3,0,3.8,3.8,2.8,66,87,29,126,010,021,031,010,031,019,014,034,019,034,Partidas,751ef075
5,Carlos Alberto,br BRA,ATLT,América (MG),19,2002,6,0,156,1.7,0,0,0,0,0,0,1,0,0.7,0.7,0.1,08,8,0,10,000,000,000,000,000,041,006,047,041,047,Partidas,08f48d96
6,Yuri Alberto,br BRA,AT,Corinthians,20,2001,20,15,1.453,16.1,8,1,9,8,0,0,4,1,5.9,5.9,1.6,75,28,29,115,050,006,056,050,056,036,010,046,036,046,Partidas,65159211
7,Ale,br BRA,LT,América (MG),31,1990,28,24,1.929,21.4,2,2,4,2,0,0,2,1,1.9,1.9,1.5,34,38,144,64,009,009,019,009,019,009,007,016,009,016,Partidas,b7d9347d
8,Alexandre Alemão,br BRA,AT,Internacional,23,1998,34,22,2.005,22.3,8,5,13,8,0,0,3,0,6.5,6.5,2.4,89,38,46,164,036,022,058,036,058,029,011,040,029,040,Partidas,3ed2a79b
9,Alerrandro,br BRA,AT,Bragantino,22,2000,20,11,929,10.3,6,1,7,6,0,0,3,0,5.2,5.2,0.7,59,5,8,56,058,010,068,058,068,050,007,057,050,057,Partidas,3415a44d
10,Alesson,br BRA,LTAT,Cuiabá,22,1999,21,11,1.024,11.4,2,0,2,2,0,0,3,0,2.6,2.6,1.3,39,31,29,101,018,000,018,018,018,023,012,035,023,035,Partidas,611e984e
11,Alex,br BRA,ZG,Santos,22,1999,4,4,335,3.7,1,0,1,1,0,0,1,0,0.2,0.2,0.0,02,0,6,0,027,000,027,027,027,005,000,005,005,005,Partidas,7367baf7
12,Caio Alexandre,br BRA,LT,Fortaleza,22,1999,12,11,994,11.0,1,0,1,1,0,0,3,1,0.8,0.8,0.4,11,28,69,16,009,000,009,009,009,007,003,010,007,010,Partidas,08ac23b7
13,Matheus Alexandre,br BRA,ZG,Coritiba,22,1999,21,16,1.400,15.6,0,0,0,0,0,0,5,0,0.0,0.0,0.6,06,30,53,69,000,000,000,000,000,000,004,004,000,004,Partidas,0212e748
14,Alexsander,br BRA,ZG,Fluminense,18,2003,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,02,9,11,11,000,000,000,000,000,001,005,007,001,007,Partidas,b13e7a78
15,Alisson,br BRA,LTAT,São Paulo,28,1993,15,10,943,10.5,1,1,2,1,0,0,5,0,1.2,1.2,0.9,21,29,55,71,010,010,019,010,019,012,009,020,012,020,Partidas,99139fa4
16,Allan,br BRA,LT,Atlético Mineiro,24,1997,33,31,2.733,30.4,0,0,0,0,0,0,10,0,0.9,0.9,1.0,19,51,201,20,000,000,000,000,000,003,003,006,003,006,Partidas,b15e93aa
17,Guilherme Almeida Augusto,br BRA,ZG,Bragantino,29,1993,2,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,01,4,2,3,000,000,000,000,000,006,003,009,006,009,Partidas,8eecd5f9
18,Henrique Almeida,br BRA,AT,América (MG),30,1991,28,21,1.497,16.6,6,0,6,6,0,1,7,0,6.7,6.0,1.3,73,17,37,89,036,000,036,036,036,041,008,049,036,044,Partidas,8aa2f2e3
19,Júnior Alonso,py PAR,ZG,Atlético Mineiro,28,1993,31,30,2.598,28.9,0,2,2,0,0,0,4,0,0.5,0.5,2.4,29,17,147,14,000,007,007,000,007,002,008,010,002,010,Partidas,b18a3023
20,Diego Alves,br BRA,G,Flamengo,36,1985,5,5,424,4.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,12421a7c
21,Felipe Alves Raymundo,br BRA,G,São Paulo,33,1988,17,17,1.530,17.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,7fbe8689
22,Felipe Alves Raymundo,br BRA,G,Juventude,33,1988,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,7fbe8689
23,Rodrigo Alves Soares,br BRA,ZG,Juventude,29,1992,35,32,2.789,31.0,1,1,2,1,0,0,4,0,0.5,0.5,2.8,33,44,154,99,003,003,006,003,006,002,009,011,002,011,Partidas,4c1b67d6
