Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
1,Abner,br BRA,ZGLT,Atl Paranaense,20,2000,24,23,1.948,21.6,0,3,3,0,0,0,3,0,1.0,1.0,2.8,38,42,87,146,000,014,014,000,014,004,013,017,004,017,Partidas,7f9c5d2d
2,Luiz Adriano,br BRA,AT,Palmeiras,33,1987,19,12,936,10.4,3,2,5,3,0,0,0,0,4.2,4.2,1.7,59,3,10,42,029,019,048,029,048,041,016,057,041,057,Partidas,2557c196
3,Adson,br BRA,ATLT,Corinthians,20,2000,16,6,555,6.2,3,1,4,3,0,0,0,0,1.2,1.2,0.4,17,16,27,54,049,016,065,049,065,020,007,027,020,027,Partidas,eda38706
4,Airton,br BRA,AT,Ceará,21,1999,7,2,154,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,03,5,3,9,000,000,000,000,000,019,000,019,019,019,Partidas,751ef075
5,Carlos Alberto,br BRA,ATLT,América (MG),18,2002,8,2,211,2.3,1,0,1,1,0,0,2,0,0.9,0.9,0.1,10,6,2,15,043,000,043,043,043,040,004,044,040,044,Partidas,08f48d96
6,Yuri Alberto,br BRA,AT,Internacional,19,2001,33,31,2.687,29.9,12,3,15,12,0,0,7,0,14.2,14.2,4.7,189,47,40,217,040,010,050,040,050,048,016,063,048,063,Partidas,65159211
7,Ale,br BRA,LT,América (MG),30,1990,28,24,2.003,22.3,3,1,4,3,0,0,6,0,2.5,2.5,2.8,53,41,121,74,013,004,018,013,018,011,013,024,011,024,Partidas,b7d9347d
8,Alerrandro,br BRA,AT,Bragantino,21,2000,24,7,776,8.6,4,2,6,4,0,0,1,0,2.4,2.4,1.0,34,4,10,34,046,023,070,046,070,027,012,039,027,039,Partidas,3415a44d
9,Alesson,br BRA,LT,Bahia,21,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,01,0,0,0,000,000,000,000,000,000,040,040,000,040,Partidas,611e984e
10,Alison,br BRA,LTZG,Santos,27,1993,6,5,424,4.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,01,6,32,1,000,000,000,000,000,001,002,003,001,003,Partidas,d39b373b
11,Alisson,br BRA,ATLT,Grêmio,27,1993,29,22,1.875,20.8,3,1,4,3,0,0,1,0,4.2,4.2,2.9,71,75,79,187,014,005,019,014,019,020,014,034,020,034,Partidas,99139fa4
12,Allan,br BRA,LT,Atlético Mineiro,23,1997,32,31,2.683,29.8,0,0,0,0,0,0,7,1,1.1,1.1,0.4,15,31,201,22,000,000,000,000,000,004,001,005,004,005,Partidas,b15e93aa
13,Guilherme Almeida Augusto,br BRA,ZGLT,Bragantino,28,1993,4,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,4,8,3,000,000,000,000,000,000,003,003,000,003,Partidas,8eecd5f9
14,Henrique Almeida,br BRA,AT,Chapecoense,29,1991,10,6,540,6.0,0,0,0,0,0,0,2,0,1.4,1.4,0.2,16,5,7,21,000,000,000,000,000,023,003,026,023,026,Partidas,8aa2f2e3
15,Júnior Alonso,py PAR,ZG,Atlético Mineiro,27,1993,22,22,1.980,22.0,1,0,1,1,0,0,5,0,1.7,1.7,0.8,25,8,102,22,005,000,005,005,005,008,004,012,008,012,Partidas,b18a3023
16,Jaime Alvarado,co COL,LT,Atl Paranaense,21,1999,1,1,70,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,2,1,1,000,000,000,000,000,001,000,001,001,001,Partidas,0cb5f8bb
17,Dani Alves,br BRA,ZGAT,São Paulo,37,1983,6,5,495,5.5,0,0,0,0,0,0,0,0,0.3,0.3,0.5,08,9,40,27,000,000,000,000,000,005,009,014,005,014,Partidas,c9e99e49
18,Diego Alves,br BRA,G,Flamengo,35,1985,26,26,2.277,25.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,12421a7c
19,Felipe Alves Raymundo,br BRA,G,Fortaleza,32,1988,20,20,1.755,19.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,00,0,1,0,000,000,000,000,000,000,000,000,000,000,Partidas,7fbe8689
20,Thonny Anderson,br BRA,LTAT,Bahia,23,1997,12,5,466,5.2,0,1,1,0,0,0,4,0,0.5,0.5,1.1,16,13,26,30,000,019,019,000,019,010,022,032,010,032,Partidas,7a7c9837
21,Yago Andrade,br BRA,AT,Palmeiras,17,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,13b58052
22,André,br BRA,LT,Fluminense,19,2001,26,23,1.906,21.2,1,1,2,1,0,0,6,0,1.3,1.3,0.8,21,11,124,12,005,005,009,005,009,006,004,010,006,010,Partidas,ec604e2c
23,André,br BRA,AT,Sport Recife,30,1990,20,14,1.363,15.1,2,0,2,1,1,1,4,0,2.9,2.1,0.6,28,14,39,71,013,000,013,007,007,019,004,024,014,018,Partidas,13b52dec
24,Guilherme Arana,br BRA,ZG,Atlético Mineiro,23,1997,26,26,2.284,25.4,1,5,6,1,0,0,7,0,1.8,1.8,3.6,54,66,168,164,004,020,024,004,024,007,014,021,007,021,Partidas,2b15a82a
25,Willian Arão,br BRA,LTZG,Flamengo,28,1992,30,29,2.583,28.7,1,0,1,1,0,0,3,0,1.6,1.6,0.8,24,17,187,21,003,000,003,003,003,005,003,008,005,008,Partidas,f47a530a
26,Ángelo Araos,cl CHI,LTAT,Corinthians,24,1997,11,2,333,3.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,02,8,8,20,000,000,000,000,000,003,002,005,003,005,Partidas,c8e4f105
27,Lucas Araujo,br BRA,LT,Bahia,21,1999,13,5,458,5.1,0,0,0,0,0,0,4,1,0.1,0.1,0.0,01,2,14,5,000,000,000,000,000,001,000,002,001,002,Partidas,7e5ba333
28,Robert Arboleda,ec ECU,ZG,São Paulo,29,1991,17,17,1.530,17.0,1,0,1,1,0,0,3,0,1.0,1.0,0.1,11,6,56,1,006,000,006,006,006,006,001,006,006,006,Partidas,269dbfc6
29,Jhon Arias,co COL,ATLT,Fluminense,23,1997,19,9,905,10.1,1,0,1,1,0,0,2,0,1.2,1.2,1.2,24,34,67,69,010,000,010,010,010,012,012,024,012,024,Partidas,86d96066
30,Arnaldo,br BRA,ZG,Atl Goianiense,28,1992,28,11,1.259,14.0,0,3,3,0,0,0,3,0,0.6,0.6,1.9,25,24,59,74,000,021,021,000,021,005,013,018,005,018,Partidas,58ac8926
31,Arthur,br BRA,LTAT,Atl Goianiense,22,1998,12,8,721,8.0,1,1,2,1,0,0,0,0,1.5,1.5,1.9,34,16,29,43,012,012,025,012,025,019,024,043,019,043,Partidas,184ad240
32,Artur,br BRA,ATLT,Bragantino,22,1998,30,28,2.494,27.7,12,8,20,10,2,2,5,1,8.7,7.1,6.4,135,104,117,226,043,029,072,036,065,031,023,054,026,048,Partidas,105132cd
33,Felipe Augusto,br BRA,AT,Corinthians,16,2004,3,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,1,000,000,000,000,000,000,000,000,000,000,Partidas,1f9cbd0b
34,Leo Augusto Pereira,br BRA,ATLT,Grêmio,20,2000,16,5,578,6.4,0,0,0,0,0,0,0,0,0.8,0.8,0.4,12,28,11,65,000,000,000,000,000,012,006,018,012,018,Partidas,a3818875
35,Renato Augusto,br BRA,LTAT,Corinthians,32,1988,21,16,1.483,16.5,4,1,5,4,0,0,2,0,2.7,2.7,1.2,39,36,113,113,024,006,030,024,030,017,007,024,017,024,Partidas,83a6367a
36,Auremir,br BRA,LT,Cuiabá,29,1991,24,17,1.286,14.3,0,0,0,0,0,0,3,0,0.3,0.3,0.6,08,13,50,12,000,000,000,000,000,002,004,006,002,006,Partidas,3a2e6d70
37,Felipe Azevedo,br BRA,ATLT,América (MG),34,1987,37,31,2.326,25.8,5,3,8,5,0,1,4,0,6.0,5.2,2.7,79,48,88,184,019,012,031,019,031,023,011,034,020,031,Partidas,4a22b15a
38,Gui Azevedo,br BRA,AT,Grêmio,19,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,8aa0de47
39,Márcio Azevedo,br BRA,ZGLT,Atl Paranaense,34,1986,10,4,387,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,02,6,30,22,000,000,000,000,000,000,006,006,000,006,Partidas,53fc526b
40,Matheus Babi,br BRA,AT,Atl Paranaense,23,1997,11,9,701,7.8,3,1,4,3,0,0,5,0,3.2,3.2,0.9,40,6,11,29,039,013,051,039,051,040,011,052,040,052,Partidas,f48cff2c
41,Matheus Bahia,br BRA,ZG,Bahia,21,1999,29,27,2.286,25.4,2,4,6,2,0,0,8,1,1.1,1.1,2.3,35,61,103,104,008,016,024,008,024,004,009,014,004,014,Partidas,33e3c4e5
42,Léo Baptistão,br BRA,AT,Santos,28,1992,8,8,540,6.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,07,14,12,26,000,000,000,000,000,011,001,012,011,012,Partidas,35f6db55
43,Gabriel Baralhas,br BRA,LT,Atl Goianiense,22,1998,31,18,1.718,19.1,4,0,4,4,0,0,3,0,1.2,1.2,1.0,22,9,94,32,021,000,021,021,021,006,005,012,006,012,Partidas,b7838aad
44,Danilo Barbosa,br BRA,LTZG,Palmeiras,24,1996,15,4,451,5.0,0,2,2,0,0,0,0,0,0.1,0.1,1.0,11,5,21,5,000,040,040,000,040,001,020,022,001,022,Partidas,0557ff4f
45,Diogo Barbosa,br BRA,ZG,Grêmio,28,1992,16,10,912,10.1,1,1,2,1,0,0,2,0,0.2,0.2,0.9,11,32,61,53,010,010,020,010,020,002,009,011,002,011,Partidas,7b9ef26b
46,Gabriel Barbosa,br BRA,AT,Flamengo,24,1996,18,18,1.482,16.5,12,5,17,9,3,4,6,1,13.1,9.9,3.5,134,32,79,124,073,030,103,055,085,079,021,100,060,081,Partidas,72d0e1b6
47,Matheus Barbosa,br BRA,LTAT,Atl Goianiense,26,1994,11,5,386,4.3,1,1,2,1,0,0,0,0,0.4,0.4,0.4,09,4,26,8,023,023,047,023,047,010,010,020,010,020,Partidas,78acef2e
48,Pablo Barbosa,br BRA,ATLT,Bahia,21,1999,2,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,3,0,000,000,000,000,000,000,010,010,000,010,Partidas,880d2226
49,Danilo Barcelos,br BRA,ZG,Fluminense,29,1991,15,11,1.052,11.7,0,4,4,0,0,0,2,0,0.5,0.5,1.7,22,14,37,49,000,034,034,000,034,004,015,019,004,019,Partidas,26f4ef39
50,Leandro Barcia,uy URU,ATLT,Sport Recife,28,1992,5,1,130,1.4,1,0,1,1,0,0,0,0,0.7,0.7,0.0,07,3,3,4,069,000,069,069,069,046,003,049,046,049,Partidas,11d91ea7
51,Gabriel Batista,br BRA,G,Flamengo,22,1998,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,20575487
52,Muriel Becker,br BRA,G,Fluminense,33,1987,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,00,0,0,0,000,000,000,000,000,000,000,000,000,000,Partidas,826bc57f
53,Ramiro Benetti,br BRA,LTAT,Corinthians,27,1993,6,2,231,2.6,0,0,0,0,0,0,2,0,1.0,1.0,0.2,12,0,13,18,000,000,000,000,000,040,008,048,040,048,Partidas,96d14fe7
54,Martín Benítez,ar ARG,LTAT,São Paulo,26,1994,24,7,860,9.6,2,1,3,2,0,0,5,1,1.4,1.4,1.4,29,32,79,56,021,010,031,021,031,015,015,030,015,030,Partidas,c122e34e
