Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
494,Nikão,br BRA,LTAT,Atl Paranaense,25,1992,32,26,2.311,25.7,2,6,8,2,0,0,5,1,,,,008,023,031,008,031,Partidas,a34bb194
495,Nílton,br BRA,LT,Bahia,30,1987,11,9,760,8.4,1,1,2,1,0,0,4,0,,,,012,012,024,012,024,Partidas,abc1901c
496,Nonoca,br BRA,LT,Sport Recife,19,1998,4,1,87,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,06c062d4
497,Norberto,br BRA,ZG,América (MG),27,1990,20,20,1.619,18.0,0,2,2,0,0,0,6,0,,,,000,011,011,000,011,Partidas,93e1aa98
498,Mateus Norton,br BRA,LTZG,Fluminense,21,1996,9,5,486,5.4,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,7496789f
499,Guilherme Nunes,br BRA,LT,Santos,19,1998,2,2,29,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,49b6c213
500,Gabriel Oliveira,br BRA,LT,Internacional,18,1999,1,1,74,0.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6aecd285
501,Yuri Oliveira Lima,br BRA,LTZG,Santos,23,1994,5,3,343,3.8,0,0,0,0,0,0,4,0,,,,000,000,000,000,000,Partidas,bcf3d64e
502,Marcelo Oliveira,br BRA,ZG,Grêmio,30,1987,14,13,1.080,12.0,0,0,0,0,0,0,5,0,,,,000,000,000,000,000,Partidas,ef8538e8
503,Renan Oliveira,br BRA,ATLT,América (MG),28,1989,2,0,48,0.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,7a4fcc7d
504,Ricardo Oliveira,br BRA,AT,Atlético Mineiro,37,1980,35,35,3.004,33.4,13,6,19,13,0,0,3,0,,,,039,018,057,039,057,Partidas,420c1246
505,José Ortigoza,py PAR,AT,Paraná,30,1987,5,3,329,3.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,47aeaa7b
506,Leo Ortiz,br BRA,ZG,Sport Recife,22,1996,6,6,540,6.0,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,53834fa2
507,Edgardo Orzusa,py PAR,LT,Chapecoense,27,1990,2,0,30,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6d98c860
508,Luiz Otávio,br BRA,ZG,Ceará,29,1988,35,34,3.097,34.4,1,1,2,1,0,0,8,0,,,,003,003,006,003,006,Partidas,ed976dd9
509,Luiz Otávio,br BRA,ZG,Chapecoense,25,1992,4,2,190,2.1,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,35e4fc3a
510,Nathan Otávio Ribeiro,br BRA,ZG,Fluminense,27,1990,5,4,407,4.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,bfdf1443
511,Rómulo Otero,ve VEN,LT,Atlético Mineiro,25,1992,7,5,378,4.2,1,0,1,1,0,0,0,0,,,,024,000,024,024,024,Partidas,96fdc3c0
512,Pablo,br BRA,ATLT,Atl Paranaense,25,1992,33,30,2.730,30.3,12,2,14,12,0,0,6,0,,,,040,007,046,040,046,Partidas,1ad394c5
513,Bruno Pacheco,br BRA,ZG,Chapecoense,26,1991,30,30,2.678,29.8,0,1,1,0,0,0,9,0,,,,000,003,003,000,003,Partidas,9b7976e6
514,Henrique Pacheco Lima,br BRA,LT,Cruzeiro,32,1985,19,19,1.710,19.0,0,1,1,0,0,0,7,0,,,,000,005,005,000,005,Partidas,a4796c59
515,Wesley Pacheco,br BRA,AT,América (MG),27,1990,5,1,134,1.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,bd217923
516,Pachu,br BRA,AT,Botafogo (RJ),21,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7278aff3
517,Tiago Pagnussat,br BRA,ZG,Bahia,27,1990,20,20,1.759,19.5,2,0,2,2,0,0,6,1,,,,010,000,010,010,010,Partidas,63fee4e5
518,Giovanni Palmieri,br BRA,LTZG,América (MG),28,1989,24,20,1.777,19.7,3,1,4,3,0,0,3,0,,,,015,005,020,015,020,Partidas,296e5c63
519,Lucas Paquetá,br BRA,LT,Flamengo,20,1997,32,31,2.743,30.5,10,1,11,10,0,0,9,1,,,,033,003,036,033,036,Partidas,9b6f7fd5
