Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidas,-9999
29,Thonny Anderson,br BRA,ATLT,Atl Paranaense,21,1997,23,16,1.372,15.2,3,4,7,3,0,0,6,0,3.8,3.8,3.9,77,30,56,96,020,026,046,020,046,025,026,050,025,050,Partidas,7a7c9837
30,Tomás Andrade,ar ARG,LTAT,Atl Paranaense,22,1996,12,5,483,5.4,0,1,1,0,0,0,0,0,0.8,0.8,0.8,16,25,34,31,000,019,019,000,019,015,016,031,015,031,Partidas,d43c4b3a
31,André,br BRA,AT,Grêmio,28,1990,17,10,894,9.9,2,2,4,2,0,1,4,0,5.3,4.5,1.4,59,7,19,57,020,020,040,020,040,053,014,067,046,060,Partidas,13b52dec
32,Paulo André,br BRA,ZG,Atl Paranaense,35,1983,5,4,354,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,01,4,11,2,000,000,000,000,000,001,001,002,001,002,Partidas,996c6787
33,Marco Antônio,br BRA,LTAT,Bahia,21,1997,6,3,345,3.8,1,1,2,1,0,0,0,0,0.2,0.2,1.2,14,16,17,20,026,026,052,026,052,005,031,036,005,036,Partidas,94cc9e88
34,Antony,br BRA,LTAT,São Paulo,18,2000,29,27,2.379,26.4,4,6,10,4,0,0,5,1,4.9,4.9,4.1,90,128,105,241,015,023,038,015,038,019,016,034,019,034,Partidas,99127249
35,Apodi,br BRA,ZGAT,CSA,32,1986,32,31,2.606,29.0,4,1,5,4,0,0,6,0,2.0,2.0,2.1,42,86,55,134,014,003,017,014,017,007,007,014,007,014,Partidas,affbe6bc
36,Willian Arão,br BRA,LT,Flamengo,26,1992,35,33,2.937,32.6,2,5,7,2,0,0,3,0,3.4,3.4,2.1,55,19,235,52,006,015,021,006,021,010,006,017,010,017,Partidas,f47a530a
37,Felipe Araruna,br BRA,LT,Fortaleza,22,1996,9,7,625,6.9,0,0,0,0,0,0,1,0,0.0,0.0,0.7,07,4,28,15,000,000,000,000,000,000,010,010,000,010,Partidas,d6b94d77
38,Márcio Araújo,br BRA,LT,Chapecoense,34,1984,36,36,3.213,35.7,0,0,0,0,0,0,6,1,0.5,0.5,1.0,15,57,162,26,000,000,000,000,000,001,003,004,001,004,Partidas,f5affa62
39,Vinícius Araújo,br BRA,ATLT,Avaí,25,1993,15,10,1.001,11.1,1,0,1,1,0,0,2,0,2.8,2.8,0.9,37,11,20,84,009,000,009,009,009,025,008,033,025,033,Partidas,5d6b9376
40,Robert Arboleda,ec ECU,ZG,São Paulo,27,1991,29,29,2.564,28.5,1,1,2,1,0,0,6,0,1.9,1.9,0.7,26,11,84,5,004,004,007,004,007,007,003,009,007,009,Partidas,269dbfc6
41,Pablo Armero,co COL,ZG,CSA,32,1986,3,2,204,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,00,1,3,3,000,000,000,000,000,000,002,002,000,002,Partidas,afabf74e
42,Arthur,br BRA,LTAT,Bahia,26,1992,29,9,1.124,12.5,6,1,7,5,1,1,5,2,6.5,5.7,1.4,71,25,26,107,048,008,056,040,048,052,011,063,046,057,Partidas,4a870f60
43,Arthur,br BRA,AT,Palmeiras,20,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,05,2,1,2,000,000,000,000,000,054,000,054,054,054,Partidas,a820e429
44,Arthur,br BRA,LTAT,Chapecoense,20,1998,30,18,1.920,21.3,4,0,4,4,0,0,2,0,3.6,3.6,2.3,59,85,60,165,019,000,019,019,019,017,011,027,017,027,Partidas,184ad240
45,Artur,br BRA,ATLT,Bahia,20,1998,32,32,2.821,31.3,7,3,10,7,0,1,7,0,5.6,4.8,6.1,109,130,142,302,022,010,032,022,032,018,019,037,015,035,Partidas,105132cd
46,Léo Artur,br BRA,LTAT,Fluminense,23,1995,7,3,204,2.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,03,6,9,25,000,000,000,000,000,008,005,012,008,012,Partidas,93596a79
47,Giovanni Augusto,br BRA,LT,Goiás,29,1989,12,10,772,8.6,0,1,1,0,0,0,3,1,1.2,1.2,1.9,31,31,46,53,000,012,012,000,012,014,022,036,014,036,Partidas,2f94a698
48,Auremir,br BRA,LT,Ceará,27,1991,6,5,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,02,3,19,4,000,000,000,000,000,000,004,004,000,004,Partidas,3a2e6d70
49,Danilo Avelar,br BRA,ZG,Corinthians,29,1989,25,25,2.175,24.2,2,0,2,2,0,0,6,0,0.9,0.9,0.5,15,20,124,60,008,000,008,008,008,004,002,006,004,006,Partidas,eacb45fd
50,Aylon,br BRA,LTAT,Chapecoense,26,1992,9,2,252,2.8,0,1,1,0,0,0,2,0,0.1,0.1,0.8,08,4,7,15,000,036,036,000,036,002,028,030,002,030,Partidas,a87daabb
51,Gui Azevedo,br BRA,AT,Grêmio,17,2001,2,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,01,1,0,4,000,000,000,000,000,000,017,017,000,017,Partidas,8aa0de47
