Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
1,Ramón Ábila,ar ARG,AT,Cruzeiro,26,1989,21,15,1.335,14.8,7,0,7,7,0,1,5,0,,,,047,000,047,047,047,Partidas,db5ee72d
2,Abuda,br BRA,LT,Ponte Preta,27,1989,7,3,291,3.2,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,438591fc
3,Adalberto,br BRA,ZG,América (MG),28,1987,9,9,810,9.0,2,1,3,2,0,0,3,0,,,,022,011,033,022,033,Partidas,edecb971
4,Adryan,br BRA,ATLT,Flamengo,21,1994,3,0,40,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,769bba76
5,Airton,br BRA,LT,Botafogo (RJ),25,1990,21,21,1.500,16.7,0,0,0,0,0,0,12,1,,,,000,000,000,000,000,Partidas,00dee972
6,Andrei Alba,br BRA,LT,Chapecoense,21,1995,1,0,53,0.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,298fe40b
7,Carlos Alberto,br BRA,LTAT,Figueirense,31,1984,8,7,528,5.9,3,2,5,2,1,1,5,1,,,,051,034,085,034,068,Partidas,ce3b4ddd
8,Alecsandro,br BRA,AT,Palmeiras,34,1981,13,4,525,5.8,3,0,3,3,0,0,1,0,,,,051,000,051,051,051,Partidas,266bd6fb
9,Alemão,br BRA,ZG,Santa Cruz,29,1986,3,2,155,1.7,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,9c8ec789
10,Alemão,br BRA,ZGLT,Botafogo (RJ),25,1990,10,10,844,9.4,0,2,2,0,0,0,1,0,,,,000,021,021,000,021,Partidas,bc631250
11,Alex,br BRA,LT,Internacional,33,1982,23,12,1.093,12.1,1,2,3,0,1,1,8,2,,,,008,016,025,000,016,Partidas,38e72530
12,Alípio,br BRA,ATLT,Vitória,23,1992,10,0,228,2.5,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,59052659
13,Alison,br BRA,ZG,América (MG),32,1983,15,15,1.262,14.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,ff3897d3
14,Alison,br BRA,LT,Santos,22,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d39b373b
15,Alisson,br BRA,LTAT,Cruzeiro,22,1993,20,12,1.193,13.3,4,4,8,3,1,1,4,0,,,,030,030,060,023,053,Partidas,99139fa4
16,Alisson,br BRA,G,Internacional,23,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7a2e46a8
17,Allano,br BRA,LTZG,Cruzeiro,20,1995,9,3,317,3.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,9c1245f8
18,Agustín Allione,ar ARG,AT,Palmeiras,21,1994,7,3,297,3.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,cfc832a8
19,Henrique Almeida,br BRA,AT,Grêmio,24,1991,17,8,615,6.8,1,1,2,1,0,0,1,0,,,,015,015,029,015,029,Partidas,8aa2f2e3
20,Leandro Almeida Silva,br BRA,ZG,Internacional,28,1987,2,2,180,2.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,a110e458
21,Magno Alves,br BRA,AT,Fluminense,40,1976,23,6,809,9.0,2,3,5,2,0,0,0,0,,,,022,033,056,022,056,Partidas,4cd813d5
22,Ronaldo Alves,br BRA,ZG,Sport Recife,26,1989,20,20,1.793,19.9,1,1,2,1,0,0,2,0,,,,005,005,010,005,010,Partidas,f089b25e
23,Tiago Alves,br BRA,ZG,Ponte Preta,31,1984,1,0,11,0.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,597a34c7
24,Amaral,br BRA,LT,Vitória,27,1988,21,18,1.403,15.6,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,fd2effbf
25,Amaral,br BRA,LT,Coritiba,29,1986,8,7,581,6.5,2,1,3,2,0,0,2,0,,,,031,015,046,031,046,Partidas,a19bfce8
26,Felipe Amorim,br BRA,LT,Coritiba,25,1991,10,5,424,4.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,646b1e1b
27,Guilherme Amorim,br BRA,LT,Grêmio,22,1993,3,2,164,1.8,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,abaab608
28,Ananias,br BRA,LTAT,Chapecoense,27,1989,17,12,1.023,11.4,2,0,2,2,0,0,3,0,,,,018,000,018,018,018,Partidas,a8a2b69b
29,Anderson,br BRA,LT,Internacional,27,1988,20,9,959,10.7,1,2,3,1,0,0,1,0,,,,009,019,028,009,028,Partidas,ffcbeb74
30,Rodrigo Andrade,br BRA,LT,Chapecoense,27,1988,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,cf272f76
31,André,br BRA,AT,Corinthians,25,1990,11,6,529,5.9,1,1,2,1,0,0,4,0,,,,017,017,034,017,034,Partidas,13b52dec
32,Paulo André,br BRA,ZG,Atl Paranaense,32,1983,26,26,2.311,25.7,2,1,3,2,0,0,5,0,,,,008,004,012,008,012,Partidas,996c6787
33,Andrigo,br BRA,LT,Internacional,20,1995,11,8,575,6.4,1,1,2,1,0,0,2,0,,,,016,016,031,016,031,Partidas,8b400e13
34,Luiz Antônio,br BRA,LT,Sport Recife,24,1991,4,1,119,1.3,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,b462c35b
35,Apodi,br BRA,LTZG,Sport Recife,29,1986,15,2,475,5.3,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,affbe6bc
36,Alex Apolinário,br BRA,LT,Cruzeiro,19,1996,7,1,170,1.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e3934cd2
37,Anderson Aquino,br BRA,ATLT,Botafogo (RJ),29,1986,6,4,332,3.7,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,0eaf75b5
38,Claudio Aquino,ar ARG,LT,Fluminense,24,1991,2,1,104,1.2,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,1645d166
39,Guilherme Arana,br BRA,ZG,Corinthians,18,1997,10,6,723,8.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,2b15a82a
40,Aranha,br BRA,G,Ponte Preta,35,1980,19,19,1.709,19.0,0,2,2,0,0,0,2,0,,,,000,011,011,000,011,Partidas,1b109c2a
41,Willian Arão,br BRA,LT,Flamengo,23,1992,37,36,3.229,35.9,4,2,6,4,0,0,4,0,,,,011,006,017,011,017,Partidas,f47a530a
42,Luiz Araújo,br BRA,LT,São Paulo,19,1996,22,7,786,8.7,2,3,5,2,0,0,4,0,,,,023,034,057,023,057,Partidas,fa18c72e
43,Márcio Araújo,br BRA,LT,Flamengo,31,1984,36,36,3.011,33.5,0,0,0,0,0,0,3,1,,,,000,000,000,000,000,Partidas,f5affa62
44,Vinícius Araújo,br BRA,ATLT,Sport Recife,22,1993,16,3,490,5.4,2,1,3,2,0,0,5,0,,,,037,018,055,037,055,Partidas,5d6b9376
45,Arouca,br BRA,ZGLT,Palmeiras,29,1986,2,0,94,1.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,b96444f3
46,Arthur,br BRA,ATLT,Santos,17,1998,2,0,16,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,184ad240
47,Arthur,br BRA,LT,Santa Cruz,23,1992,36,22,2.245,24.9,6,2,8,6,0,0,3,0,,,,024,008,032,024,032,Partidas,4a870f60
48,Artur,br BRA,LT,São Paulo,19,1996,4,3,276,3.1,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,ea6803c7
49,Artur,br BRA,ZG,Internacional,21,1994,20,19,1.664,18.5,0,2,2,0,0,0,7,0,,,,000,011,011,000,011,Partidas,22517bbe
50,Artur,,ATLT,Palmeiras,17,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,1313bfb3
51,Dener Assunção Braz,br BRA,ZG,Chapecoense,24,1991,29,29,2.494,27.7,3,0,3,3,0,0,2,0,,,,011,000,011,011,011,Partidas,2febe8ba
52,Giovanni Augusto,br BRA,LT,Corinthians,26,1989,32,27,2.233,24.8,3,4,7,2,1,1,5,1,,,,012,016,028,008,024,Partidas,2f94a698
