Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,MP,Inícios,Min.,90s,Gols,Assis.,G+A,G-PB,PB,PT,CrtsA,CrtV,PrgC,PrgP,PrgR,Gols,Assis.,G+A,G-PB,G+A-PB,Partidas,-9999
53,Auro,br BRA,ZGLT,São Paulo,20,1996,6,5,389,4.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,b234cb0e
54,Aylon,br BRA,AT,Internacional,23,1992,21,9,921,10.2,4,1,5,4,0,0,2,0,,,,039,010,049,039,049,Partidas,a87daabb
55,Felipe Azevedo,br BRA,LT,Ponte Preta,29,1987,19,15,1.176,13.1,5,1,6,5,0,1,1,0,,,,038,008,046,038,046,Partidas,4a22b15a
56,Bady,br BRA,LTAT,Figueirense,26,1989,24,20,1.663,18.5,2,2,4,1,1,1,4,0,,,,011,011,022,005,016,Partidas,32f4cdd1
57,Bruno Baio,br BRA,AT,Internacional,20,1995,2,0,42,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,564e325e
58,Fabián Balbuena,py PAR,ZG,Corinthians,24,1991,29,29,2.537,28.2,0,2,2,0,0,0,7,1,,,,000,007,007,000,007,Partidas,3626f7d9
59,Matheus Banguelê,br BRA,LT,São Paulo,19,1996,1,1,64,0.7,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,b4005b9a
60,William Barbio,br BRA,AT,América (MG),23,1992,2,1,59,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,425cf64b
61,Diogo Barbosa,br BRA,ZGLT,Botafogo (RJ),23,1992,26,25,2.197,24.4,2,1,3,2,0,0,5,0,,,,008,004,012,008,012,Partidas,7b9ef26b
62,Gabriel Barbosa,br BRA,LTAT,Santos,19,1996,11,10,909,10.1,5,1,6,5,0,0,3,0,,,,050,010,059,050,059,Partidas,72d0e1b6
63,Danilo Barcelos,br BRA,LTZG,América (MG),24,1991,34,25,2.293,25.5,4,3,7,4,0,0,3,0,,,,016,012,027,016,027,Partidas,26f4ef39
64,Nery Bareiro,py PAR,ZG,Coritiba,27,1988,13,12,990,11.0,1,1,2,1,0,0,6,1,,,,009,009,018,009,018,Partidas,b2626610
65,Cristian Baroni,br BRA,LT,Corinthians,32,1983,14,12,938,10.4,0,1,1,0,0,0,3,0,,,,000,010,010,000,010,Partidas,7c7d418d
66,Lucas Barrios,py PAR,AT,Palmeiras,31,1984,9,3,371,4.1,1,0,1,1,0,0,1,0,,,,024,000,024,024,024,Partidas,618feb69
67,Michel Bastos,br BRA,LT,São Paulo,32,1983,14,11,967,10.7,0,2,2,0,0,0,2,0,,,,000,019,019,000,019,Partidas,014a3e8c
68,Rafael Bastos,br BRA,LTAT,América (MG),31,1985,5,5,434,4.8,1,0,1,0,1,1,1,0,,,,021,000,021,000,000,Partidas,4b5f3339
69,Rafael Bastos,br BRA,LT,Chapecoense,31,1985,6,2,260,2.9,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,4b5f3339
70,Matheus Batista,br BRA,AT,Grêmio,20,1995,11,0,205,2.3,1,0,1,1,0,0,0,0,,,,044,000,044,044,044,Partidas,43d05e22
71,Muriel Becker,br BRA,G,Internacional,28,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,826bc57f
72,Ramiro Benetti,br BRA,LTZG,Grêmio,22,1993,22,15,1.246,13.8,1,0,1,1,0,0,5,2,,,,007,000,007,007,007,Partidas,96d14fe7
73,César Benítez,py PAR,ZG,Coritiba,25,1990,15,11,1.017,11.3,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,b377627b
74,Bernardo,br BRA,AT,Coritiba,25,1990,6,1,125,1.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,aa157746
75,Neto Berola,br BRA,LTAT,Coritiba,28,1987,7,5,352,3.9,1,1,2,1,0,0,2,0,,,,026,026,051,026,051,Partidas,e6544ead
76,Matheus Biteco,br BRA,LT,Chapecoense,20,1995,16,13,1.224,13.6,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,a39a9d24
77,Fernando Bob,br BRA,LT,Internacional,28,1988,18,17,1.437,16.0,1,0,1,1,0,0,10,1,,,,006,000,006,006,006,Partidas,d8e12b33
78,Bobô,br BRA,AT,Grêmio,31,1985,9,4,308,3.4,1,1,2,1,0,0,1,0,,,,029,029,058,029,058,Partidas,4bce3dcb
79,Marcelo Boeck,br BRA,G,Chapecoense,31,1984,6,6,540,6.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,069cb4f8
80,Álex Bolaños,ec ECU,LT,Santa Cruz,31,1985,3,2,113,1.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,0bcca1d1
81,Miller Bolaños,ec ECU,ATLT,Grêmio,25,1990,18,15,1.244,13.8,3,0,3,3,0,0,4,0,,,,022,000,022,022,022,Partidas,fc2962b9
82,Humberlito Borges,br BRA,AT,América (MG),35,1980,10,7,672,7.5,1,0,1,1,0,0,1,0,,,,013,000,013,013,013,Partidas,aa05a350
83,Pedro Bortoluzo,br BRA,AT,São Paulo,19,1996,10,2,222,2.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,4931aa8a
84,Fábio Braga,br BRA,LT,Coritiba,23,1992,4,1,81,0.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,1551717d
85,David Braz,br BRA,ZG,Santos,28,1987,21,19,1.773,19.7,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,9313b408
86,Bressan,br BRA,ZG,Grêmio,23,1993,6,3,368,4.1,0,1,1,0,0,0,2,1,,,,000,024,024,000,024,Partidas,3db1684c
87,Lins Lima de Brito,br BRA,LTAT,Figueirense,28,1987,25,19,1.693,18.8,3,2,5,3,0,0,1,0,,,,016,011,027,016,027,Partidas,47b1f209
88,Fabrício Bruno,br BRA,ZG,Cruzeiro,19,1996,7,4,379,4.2,1,0,1,1,0,0,1,0,,,,024,000,024,024,024,Partidas,470d197b
89,Marlon Bruno,br BRA,LT,Figueirense,22,1993,1,1,56,0.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,52c7a495
90,Renato Bruno,br BRA,LT,América (MG),21,1994,4,1,161,1.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,a5d12aaf
91,Vitor Bueno,br BRA,LT,Santos,21,1994,33,32,2.545,28.3,10,3,13,8,2,2,2,0,,,,035,011,046,028,039,Partidas,5752f96d
92,Julio Buffarini,ar ARG,ZG,São Paulo,27,1988,17,16,1.440,16.0,0,0,0,0,0,0,8,0,,,,000,000,000,000,000,Partidas,66d9f8ee
93,Ariel Cabral,ar ARG,LT,Cruzeiro,28,1987,25,20,1.661,18.5,1,0,1,1,0,0,3,0,,,,005,000,005,005,005,Partidas,cbd26ff3
94,Patric Cabral Lalau,br BRA,LTZG,Atlético Mineiro,26,1989,18,9,968,10.8,2,4,6,2,0,0,3,0,,,,019,037,056,019,056,Partidas,16cd17b7
95,Luciano Cabral,cl CHI,LT,Atl Paranaense,20,1995,6,2,251,2.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f49fd6b5
96,Rodrigo Caio,br BRA,ZG,São Paulo,22,1993,20,19,1.674,18.6,1,0,1,1,0,0,1,0,,,,005,000,005,005,005,Partidas,186ed8f1
97,Caíque,br BRA,G,Vitória,18,1997,8,7,662,7.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,49892b6e
98,Caju,br BRA,ZG,Santos,20,1995,11,7,665,7.4,0,2,2,0,0,0,1,0,,,,000,027,027,000,027,Partidas,4253363a
99,Jonathan Calleri,ar ARG,AT,São Paulo,22,1993,5,4,349,3.9,3,0,3,3,0,0,5,1,,,,077,000,077,077,077,Partidas,6922f806
100,Guilherme Camacho,br BRA,LT,Corinthians,25,1990,17,13,1.141,12.7,1,1,2,1,0,0,1,0,,,,008,008,016,008,016,Partidas,61a6775b
101,Fernando Camilo Farias,br BRA,LTAT,Botafogo (RJ),29,1986,28,28,2.419,26.9,6,6,12,5,1,1,1,0,,,,022,022,045,019,041,Partidas,48c1930e
102,Edinho Campos,br BRA,LT,Grêmio,33,1983,2,0,15,0.2,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,d31b1009
103,Edinho Campos,br BRA,LT,Coritiba,33,1983,20,17,1.485,16.5,0,1,1,0,0,0,6,0,,,,000,006,006,000,006,Partidas,d31b1009
104,Gustavo Canales,cl CHI,AT,Botafogo (RJ),33,1982,9,7,511,5.7,1,0,1,1,0,0,1,0,,,,018,000,018,018,018,Partidas,823a48e7
105,Lucas Cândido,br BRA,LTZG,Atlético Mineiro,22,1993,14,12,1.029,11.4,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,04d91910
106,Ailton Canela,br BRA,AT,Chapecoense,21,1994,4,0,84,0.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d07330e3
107,Thalis Cantanhede,br BRA,LT,Atlético Mineiro,19,1996,2,0,32,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,2282b154
108,Héctor Canteros,ar ARG,LT,Flamengo,26,1989,2,0,59,0.7,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,82d5eeaa
109,Capixaba,br BRA,LT,Atlético Mineiro,19,1997,3,0,73,0.8,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,ea2634a1
110,Mateus Caramelo,br BRA,ZG,São Paulo,21,1994,4,2,210,2.3,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,dd640fb1
111,Mateus Caramelo,br BRA,ZG,Chapecoense,21,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,dd640fb1
112,Sherman Cárdenas,co COL,LT,Vitória,26,1989,20,17,1.437,16.0,0,1,1,0,0,1,2,0,,,,000,006,006,000,006,Partidas,9ff0aa5e
113,Cardoso,br BRA,ZG,América (MG),31,1984,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,0b9711c8
114,Tiago Cardoso,br BRA,G,Santa Cruz,31,1984,34,34,3.060,34.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,8f950cab
115,Rafael Carioca,br BRA,LT,Atlético Mineiro,26,1989,27,26,2.302,25.6,1,1,2,1,0,0,6,0,,,,004,004,008,004,008,Partidas,19ae4d5c
116,Joel Carli,ar ARG,ZG,Botafogo (RJ),29,1986,16,16,1.410,15.7,0,1,1,0,0,0,9,0,,,,000,006,006,000,006,Partidas,00d6e369
117,Carlinhos,br BRA,ZGLT,São Paulo,29,1987,13,7,621,6.9,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,bbe65b34
118,Carlinhos,br BRA,ZG,Coritiba,29,1986,18,16,1.464,16.3,1,2,3,1,0,0,7,0,,,,006,012,018,006,018,Partidas,f33a3149
119,Carlos,br BRA,LTAT,Atlético Mineiro,20,1995,16,10,828,9.2,2,0,2,2,0,0,2,0,,,,022,000,022,022,022,Partidas,901e930c
120,Antonio Carlos,br BRA,ZG,Ponte Preta,22,1993,14,14,1.215,13.5,1,0,1,1,0,0,2,0,,,,007,000,007,007,007,Partidas,949fe1e8
121,João Carlos,br BRA,G,Ponte Preta,27,1988,17,17,1.530,17.0,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,ad9e7995
122,Luis Carlos Pilar,br BRA,AT,América (MG),18,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,a98ad44f
123,Luis Carlos Ruiz,co COL,AT,Sport Recife,29,1987,12,8,779,8.7,1,2,3,1,0,0,3,0,,,,012,023,035,012,035,Partidas,091aed8a
124,Jean Carlos Vicente,br BRA,LT,São Paulo,23,1992,3,0,69,0.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,db4b7637
125,Vitor Carvalho,br BRA,LT,Coritiba,18,1997,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,adc77724
126,Cássio,br BRA,G,Corinthians,28,1987,21,19,1.785,19.8,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,d42f6326
127,Jackson Caucaia,br BRA,LT,Figueirense,29,1987,19,17,1.398,15.5,0,0,0,0,0,0,8,0,,,,000,000,000,000,000,Partidas,b4e3d000
128,Diego Cavalieri,br BRA,G,Fluminense,33,1982,23,23,2.004,22.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,84e6ea11
129,Juan Cazares,ec ECU,LT,Atlético Mineiro,23,1992,17,13,1.090,12.1,6,4,10,5,1,1,1,1,,,,050,033,083,041,074,Partidas,754368cb
130,Ceará,br BRA,ZG,Internacional,35,1980,12,10,867,9.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e1d326d9
131,Ceará,br BRA,ZG,Coritiba,35,1980,6,6,435,4.8,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,e1d326d9
132,Dudu Cearense,br BRA,LT,Botafogo (RJ),32,1983,16,10,925,10.3,1,1,2,1,0,0,3,0,,,,010,010,019,010,019,Partidas,f7f68380
133,Ricardo Centurión,ar ARG,LT,São Paulo,23,1993,15,14,1.122,12.5,0,3,3,0,0,0,0,0,,,,000,024,024,000,024,Partidas,fac896b0
134,César,br BRA,ZG,Flamengo,23,1992,3,3,249,2.8,0,0,0,0,0,0,2,1,,,,000,000,000,000,000,Partidas,4dcde17a
135,Carlos César,br BRA,ZG,Atlético Mineiro,28,1987,24,22,1.889,21.0,2,2,4,2,0,0,3,0,,,,010,010,019,010,019,Partidas,72535420
136,Leonardo César Jardim,br BRA,G,Grêmio,20,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f5dfc256
137,Júlio César,br BRA,G,Fluminense,29,1986,16,15,1.371,15.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,f4213f59
138,Yago César,br BRA,LT,Atl Paranaense,18,1997,6,4,318,3.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,790ee3a1
139,Renato Chaves,br BRA,ZG,Fluminense,25,1990,3,3,270,3.0,1,0,1,1,0,0,1,0,,,,033,000,033,033,033,Partidas,2a51efe8
140,Andrés Chávez,ar ARG,AT,São Paulo,24,1991,21,19,1.701,18.9,9,2,11,9,0,1,4,0,,,,048,011,058,048,058,Partidas,3e3ee8f7
141,Chiquinho,br BRA,ZG,Flamengo,26,1989,7,6,487,5.4,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,a094f5c6
142,Marcelo Cirino,br BRA,LT,Flamengo,24,1992,24,13,1.186,13.2,2,0,2,2,0,0,2,0,,,,015,000,015,015,015,Partidas,6ba81b35
143,Léo Cittadini,br BRA,LT,Santos,21,1994,16,12,1.024,11.4,0,3,3,0,0,0,1,0,,,,000,026,026,000,026,Partidas,68410185
144,Luccas Claro,br BRA,ZG,Coritiba,24,1991,23,23,2.011,22.3,2,0,2,2,0,0,8,0,,,,009,000,009,009,009,Partidas,3cacc0ec
145,Claudinei,br BRA,LTZG,América (MG),27,1988,17,10,1.017,11.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,3768e6a8
146,Clayson,br BRA,LT,Ponte Preta,20,1995,32,32,2.445,27.2,3,3,6,3,0,0,8,2,,,,011,011,022,011,022,Partidas,85c1009d
147,Clayton,br BRA,LTAT,Atlético Mineiro,20,1995,28,19,1.556,17.3,4,3,7,4,0,0,5,0,,,,023,017,040,023,040,Partidas,ba1a92ff
148,Clayton,br BRA,LT,Sport Recife,24,1991,4,0,27,0.3,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,7f93d9a2
149,Cleberson,br BRA,ZG,Atl Paranaense,23,1992,4,4,314,3.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6ac597e8
150,Ronaldo Conceição,br BRA,ZG,Atlético Mineiro,28,1987,4,3,278,3.1,0,0,0,0,0,0,1,0,,,,000,000,000,000,000,Partidas,8de22a52
151,Jonathan Copete,co COL,LT,Santos,28,1988,25,22,2.009,22.3,10,6,16,10,0,0,5,0,,,,045,027,072,045,072,Partidas,ce070a45
152,Diego Cordeiro,br BRA,ZG,América (MG),18,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,abcecc3e
153,Uillian Correia,br BRA,LT,Santa Cruz,26,1989,27,27,2.315,25.7,0,2,2,0,0,0,9,1,,,,000,008,008,000,008,Partidas,392daca8
154,Alan Costa,br BRA,ZGLT,Internacional,25,1990,5,5,450,5.0,0,2,2,0,0,0,3,0,,,,000,040,040,000,040,Partidas,d37f4a66
155,Maktom Costa Nogueira,br BRA,LT,América (MG),17,1998,4,1,118,1.3,0,0,0,0,0,0,0,1,,,,000,000,000,000,000,Partidas,87cab442
156,Tiago Costa,br BRA,ZG,Santa Cruz,28,1987,17,17,1.473,16.4,2,2,4,2,0,0,4,0,,,,012,012,024,012,024,Partidas,d421028c
157,Léo Cotia,br BRA,LT,Santa Cruz,19,1996,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,d1864e80
158,Douglas Coutinho,br BRA,ATLT,Cruzeiro,21,1994,7,0,189,2.1,1,1,2,1,0,0,1,0,,,,048,048,095,048,095,Partidas,19a55263
159,Lucas Crispim,br BRA,ZGLT,Santos,21,1994,1,0,21,0.2,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,6501ff61
160,Jonatan Cristaldo,ar ARG,AT,Palmeiras,26,1989,3,0,67,0.7,1,0,1,1,0,0,0,0,,,,134,000,134,134,134,Partidas,c4dbd5b8
161,Cristian,br BRA,LT,Ponte Preta,36,1979,9,6,509,5.7,0,0,0,0,0,0,2,0,,,,000,000,000,000,000,Partidas,692fd865
162,Diogo Vitor da Cruz,br BRA,AT,Santos,18,1997,2,0,35,0.4,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,1ce83881
163,Gustavo Cuellar,co COL,LT,Flamengo,23,1992,16,4,525,5.8,0,1,1,0,0,0,0,0,,,,000,017,017,000,017,Partidas,cdd22fcf
164,Christian Cueva,pe PER,LT,São Paulo,24,1991,24,23,2.015,22.4,7,5,12,2,5,6,9,1,,,,031,022,054,009,031,Partidas,57376761
165,Dagoberto,br BRA,LTAT,Vitória,32,1983,17,13,1.016,11.3,0,0,0,0,0,0,3,0,,,,000,000,000,000,000,Partidas,f00efcaa
166,Leandro Damião,br BRA,AT,Flamengo,26,1989,15,7,693,7.7,3,1,4,1,2,3,3,0,,,,039,013,052,013,026,Partidas,8e0eac01
167,Daniel,br BRA,LT,São Paulo,22,1994,6,0,83,0.9,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,aee2320f
168,Maikel Daniel Costa,br BRA,LT,Santa Cruz,27,1988,4,2,143,1.6,0,0,0,0,0,0,0,0,,,,000,000,000,000,000,Partidas,0ef954a8
169,Danilinho,br BRA,LT,Fluminense,28,1987,9,3,339,3.8,0,1,1,0,0,0,2,0,,,,000,027,027,000,027,Partidas,3dd0572e
